Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,38,0,0,0,0,0,0.11,0,0,0,0,0,0,0.04,0.04,0.02,0.06,0.04,0.02,0.06,0.04,0.06,Matches,b96b595c
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,10.6,0.09,0,0.09,0,0,0.38,0.19,0.09,0,0.09,0.09,0.09,0.06,0.06,0.01,0.07,0.06,0.01,0.07,0.06,0.07,Matches,d7403bd5
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,4.6,0,0,0,0,0.22,0.43,0.22,0,0,0,0,0,0.26,0.09,0.24,0.33,0.26,0.24,0.5,0.1,0.33,Matches,aff418dc
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30,0,0.07,0,0,0,0.13,0,0,0.07,0.07,0,0.07,0,0,0.02,0.02,0,0.02,0.02,0,0.02,Matches,65d62814
15,Aday,es ESP,DFMF,Girona,es La Liga,29,1987,31,20,1835,20.4,0.1,0,0.05,0.05,0.1,0.49,0,0.1,0,0.1,0.05,0.05,0.13,0.06,0.07,0.13,0.13,0.07,0.2,0.06,0.13,Matches,5890cef1
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,32.5,0,0.03,0,0,0,0.28,0,0,0.03,0.03,0,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.03,Matches,16714a62
17,Claud Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,16,14,1220,13.6,0,0,0,0,0,0.37,0.07,0,0,0,0,0,0.04,0.04,0.05,0.1,0.05,0.05,0.1,0.05,0.1,Matches,ce5b170a
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0.03,0,0.03,Matches,f71890f5
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,26777636
20,Ali Adnan Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,23,18,1674,18.6,0,0.05,0,0,0,0.22,0,0,0.05,0.05,0,0.05,0.02,0.02,0.09,0.11,0.02,0.09,0.12,0.02,0.12,Matches,6050480
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f76e6b4e
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,21,2152,23.9,0.38,0.04,0.25,0.13,0.21,0.21,0,0.38,0.04,0.42,0.25,0.29,0.46,0.31,0.05,0.36,0.46,0.05,0.51,0.32,0.36,Matches,2.93E+06
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,1,166,1.8,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9a8c6673
24,Benik Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0.01,0.19,0.21,0.01,0.22,0.21,0.22,Matches,b63f4077
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,21,20,1828,20.3,0,0.2,0,0,0,0.2,0,0,0.2,0.2,0,0.2,0,0,0.05,0.06,0,0.06,0.06,0,0.06,Matches,355c883a
26,Imanol Agirretxe,es ESP,FWMF,Real Sociedad,es La Liga,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.46,0.04,0.46,0.45,0.02,0.47,0.45,0.47,Matches,c84c1afc
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,22,1963,21.8,0.96,0.28,0.78,0.18,0.18,0.09,0,0.96,0.28,1.24,0.78,1.05,0.8,0.66,0.34,1,0.8,0.34,1.14,0.66,1,Matches,4d034881
28,Ruben Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,31,27,2459,27.3,0,0.07,0,0,0,0.07,0,0,0.07,0.07,0,0.07,0.03,0.03,0.1,0.12,0.03,0.09,0.12,0.03,0.12,Matches,3dd738a1
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,15,14,1153,12.8,0,0,0,0,0,0.23,0,0,0,0,0,0,0.04,0.04,0.05,0.08,0.04,0.04,0.08,0.04,0.08,Matches,8617e3d9
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,35,3006,33.4,0.15,0,0.15,0,0,0.12,0,0.15,0,0.15,0.15,0.15,0.09,0.09,0.02,0.11,0.09,0.02,0.11,0.09,0.11,Matches,48b28bfd
31,Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.02,0.13,0.15,0.02,0.15,Matches,74ced675
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,25,2047,22.7,0,0,0,0,0,0.18,0,0,0,0,0,0,0.03,0.03,0.05,0.08,0.03,0.05,0.08,0.03,0.08,Matches,c46fa34c
33,Arlind Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,21,15,1271,14.1,0,0.07,0,0,0,0.5,0,0,0.07,0.07,0,0.07,0.05,0.05,0.08,0.13,0.05,0.08,0.13,0.05,0.13,Matches,f9714604
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,10,904,10,0,0,0,0,0,0.2,0,0,0,0,0,0,0.02,0.02,0.01,0.03,0.02,0.01,0.03,0.02,0.03,Matches,89ac64a6
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,37,3353,37.3,0.05,0.08,0.05,0,0,0.13,0,0.05,0.08,0.13,0.05,0.13,0.06,0.06,0.05,0.12,0.07,0.05,0.12,0.07,0.12,Matches,eaeca114
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,3,0,37,0.4,0,0,0,0,0,2.5,0,0,0,0,0,0,0.25,0.25,0,0.25,0.2,0,0.2,0.2,0.2,Matches,c5eaff5c
37,Chadrac Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,22,13,1102,12.2,0.41,0,0.41,0,0.08,0.16,0,0.41,0,0.41,0.41,0.41,0.39,0.33,0.14,0.47,0.39,0.14,0.53,0.33,0.47,Matches,debc2f28
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,17,1690,18.8,0,0.05,0,0,0,0.05,0,0,0.05,0.05,0,0.05,0.01,0.01,0.08,0.09,0.01,0.08,0.09,0.01,0.09,Matches,6ec6fde0
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,17,1551,17.2,0.12,0.12,0.12,0,0,0.06,0,0.12,0.12,0.23,0.12,0.23,0.06,0.06,0.13,0.19,0.06,0.13,0.18,0.06,0.18,Matches,05439de2
40,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,23,17,1550,17.2,0.52,0.23,0.47,0.06,0.12,0.23,0.06,0.52,0.23,0.75,0.46,0.7,0.63,0.55,0.1,0.65,0.63,0.1,0.73,0.54,0.64,Matches,834d0be5
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7a4cd784
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,33,30,2744,30.5,0.07,0.26,0.07,0,0,0.23,0,0.07,0.26,0.33,0.07,0.33,0.07,0.07,0.14,0.21,0.07,0.14,0.21,0.07,0.21,Matches,4.60E+197
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,20,19,1748,19.4,0.05,0,0.05,0,0,0.26,0,0.05,0,0.05,0.05,0.05,0.07,0.07,0.01,0.08,0.07,0,0.08,0.07,0.08,Matches,348e4809
44,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,34,32,2669,29.7,0.37,0.47,0.34,0.03,0.07,0.17,0,0.37,0.47,0.84,0.34,0.81,0.27,0.22,0.34,0.56,0.27,0.34,0.61,0.21,0.56,Matches,5294a83f
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,31,30,2742,30.5,0.1,0.03,0.1,0,0,0.23,0,0.1,0.03,0.13,0.1,0.13,0.06,0.06,0.04,0.1,0.06,0.04,0.1,0.06,0.1,Matches,4bd414c1
46,Miiko Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,10,7,703,7.8,0,0,0,0,0,0.13,0,0,0,0,0,0,0.03,0.03,0.15,0.18,0.03,0.15,0.18,0.03,0.18,Matches,d459281d
47,Marc Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,34,30,2538,28.2,0.07,0.25,0.07,0,0,0.18,0.04,0.07,0.25,0.32,0.07,0.32,0.06,0.06,0.18,0.23,0.06,0.18,0.24,0.06,0.24,Matches,b827d5b3
48,Paco Alcácer,es ESP,MFFW,Barcelona,es La Liga,23,1993,17,8,695,7.7,0.52,0.39,0.52,0,0,0,0,0.52,0.39,0.91,0.52,0.91,0.39,0.39,0.29,0.68,0.39,0.28,0.67,0.39,0.67,Matches,a7a9d95a
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,8,8,689,7.7,0.13,0,0.13,0,0,0.52,0,0.13,0,0.13,0.13,0.13,0.1,0.1,0.04,0.14,0.11,0.03,0.14,0.11,0.14,Matches,ba71d071
50,Thiago Alcántara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,19,12,1247,13.9,0.14,0.14,0.14,0,0,0.22,0,0.14,0.14,0.29,0.14,0.29,0.17,0.17,0.17,0.34,0.16,0.17,0.34,0.16,0.34,Matches,77e84962
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,3,2,208,2.3,0,0.43,0,0,0,0,0,0,0.43,0.43,0,0.43,0.04,0.04,0.09,0.09,0.03,0.08,0.1,0.03,0.1,Matches,9b8970ce
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,14,13,1178,13.1,0,0,0,0,0,0.23,0,0,0,0,0,0,0.03,0.03,0.02,0.05,0.03,0.02,0.05,0.03,0.05,Matches,f7d50789
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a8599c17
54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,9,8,628,7,0,0,0,0,0,0.14,0,0,0,0,0,0,0.17,0.17,0.01,0.17,0.17,0.01,0.18,0.17,0.18,Matches,46166b49
55,Iván Alejo,es ESP,MFFW,Eibar,es La Liga,22,1995,22,14,1102,12.2,0.08,0.25,0.08,0,0,0.41,0,0.08,0.25,0.33,0.08,0.33,0.03,0.03,0.11,0.14,0.04,0.1,0.14,0.04,0.14,Matches,3d7e48ce
56,Alexander,ar ARG,MFFW,Leganés,es La Liga,28,1988,13,13,1060,11.8,0.17,0.17,0.08,0.08,0.08,0.08,0,0.17,0.17,0.34,0.08,0.25,0.23,0.16,0.19,0.36,0.23,0.2,0.42,0.16,0.36,Matches,3e1858af
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,19,18,1573,17.5,0.06,0.06,0.06,0,0,0.17,0,0.06,0.06,0.11,0.06,0.11,0.07,0.07,0.13,0.2,0.07,0.13,0.2,0.07,0.2,Matches,cd1acf9d
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,28,25,2184,24.3,0.04,0,0.04,0,0,0.25,0,0.04,0,0.04,0.04,0.04,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0.03,Matches,db0cd1ae
59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,37,3330,37,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7a2e46a8
60,Allan,br BRA,MF,Napoli,it Serie A,26,1991,38,32,2850,31.7,0.13,0.16,0.13,0,0,0.06,0,0.13,0.16,0.28,0.13,0.28,0.14,0.14,0.14,0.27,0.14,0.14,0.27,0.14,0.27,Matches,cc700722
61,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,36,36,3139,34.9,0.06,0.17,0.06,0,0,0.23,0,0.06,0.17,0.23,0.06,0.23,0.06,0.06,0.08,0.13,0.06,0.08,0.13,0.06,0.13,Matches,9feb8f24
62,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,36,34,2958,32.9,0.27,0.3,0.27,0,0,0.21,0,0.27,0.3,0.58,0.27,0.58,0.27,0.27,0.24,0.51,0.27,0.24,0.51,0.27,0.51,Matches,cea4ee8f
63,José Alonso Lara,es ESP,FW,Sevilla,es La Liga,17,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7e28d6f7
64,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,34,30,2781,30.9,0.06,0.03,0.06,0,0,0.1,0,0.06,0.03,0.1,0.06,0.1,0.03,0.03,0.02,0.05,0.03,0.02,0.05,0.03,0.05,Matches,b18a3023
65,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,26,1990,33,33,2855,31.7,0.22,0.06,0.22,0,0,0.19,0,0.22,0.06,0.28,0.22,0.28,0.13,0.13,0.09,0.22,0.13,0.09,0.22,0.13,0.22,Matches,f4290206
66,Ricky Álvarez,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,12,2,267,3,0.33,0.33,0.33,0,0,0,0,0.34,0.34,0.67,0.34,0.67,0.13,0.13,0.1,0.23,0.14,0.11,0.25,0.14,0.25,Matches,92a5ac34
67,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,16,1476,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,0.02,0,0.02,Matches,8875b8c9
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,8,7,675,7.5,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,Matches,3ecc11d8
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,25,23,2063,22.9,0.04,0.31,0.04,0,0,0.31,0.04,0.04,0.31,0.35,0.04,0.35,0.06,0.06,0.24,0.31,0.06,0.25,0.3,0.06,0.3,Matches,c9e99e49
70,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,30,30,2405,26.7,0,0,0,0,0,0.11,0.04,0,0,0,0,0,0.04,0.04,0.02,0.06,0.04,0.02,0.06,0.04,0.06,Matches,9260926b
71,Eloi Amagat,es ESP,FWMF,Girona,es La Liga,32,1985,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1.5,1.51,0,1.51,1.51,1.51,Matches,12a875ce
72,Morgan Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,14,10,746,8.3,0,0,0,0,0,0.24,0.24,0,0,0,0,0,0.13,0.13,0.06,0.19,0.13,0.06,0.19,0.13,0.19,Matches,ab914649
73,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,33,31,2703,30,0,0.1,0,0,0,0.17,0,0,0.1,0.1,0,0.1,0.01,0.01,0.07,0.08,0.01,0.07,0.08,0.01,0.08,Matches,d7bf3d19
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,8,6,487,5.4,0,0,0,0,0,0.19,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1a4ef233
75,Jordi Amat,es ESP,DFMF,Betis,es La Liga,25,1992,25,24,2045,22.7,0,0,0,0,0,0.31,0.09,0,0,0,0,0,0.02,0.02,0,0.03,0.02,0,0.03,0.02,0.03,Matches,d70a2141
76,Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,37,36,2859,31.8,0.09,0.09,0.09,0,0,0.28,0,0.09,0.09,0.19,0.09,0.19,0.17,0.17,0.06,0.23,0.17,0.06,0.23,0.17,0.23,Matches,f3b1d9a2
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,27,24,2193,24.4,0,0.2,0,0,0,0.29,0,0,0.21,0.21,0,0.21,0.02,0.02,0.06,0.08,0.02,0.06,0.08,0.02,0.08,Matches,22721b88
78,Stephan Ambrosius,de GER,DF,Hamburger SV,de Bundesliga,18,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2930c9d8
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,36,35,3154,35,0.03,0.03,0.03,0,0,0.09,0.03,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.03,0.05,0.03,0.03,0.05,0.03,0.05,Matches,bcc81786
80,Nadiem Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,28,19,1744,19.4,0.1,0.15,0.1,0,0,0.21,0,0.1,0.15,0.26,0.1,0.26,0.14,0.14,0.16,0.3,0.14,0.16,0.3,0.14,0.3,Matches,555d5edd
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,10b9fa99
82,Nordin Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,3,3,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,0.07,0.08,0.01,0.08,Matches,7c2a398c
83,Nordin Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,30,17,1623,18,0.11,0.22,0.11,0,0,0.33,0.06,0.11,0.22,0.33,0.11,0.33,0.18,0.18,0.17,0.35,0.18,0.17,0.35,0.18,0.35,Matches,7c2a398c
84,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,983ccabe
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,0.02,0,0.02,0.02,0.02,Matches,e34fc66d
86,Felipe Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,21,9,1162,12.9,0.31,0.47,0.31,0,0,0,0,0.31,0.46,0.77,0.31,0.77,0.16,0.16,0.31,0.47,0.16,0.31,0.47,0.16,0.47,Matches,9f1893b9
87,Florin Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,29,16,1636,18.2,0.38,0.16,0.38,0,0.05,0.33,0,0.39,0.17,0.55,0.39,0.55,0.6,0.57,0.05,0.62,0.61,0.06,0.66,0.57,0.62,Matches,dc008610
88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,36,0,0,0,0,0,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,326d09ef
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,26,1990,34,34,3011,33.5,0.09,0.09,0.09,0,0,0.33,0.03,0.09,0.09,0.18,0.09,0.18,0.11,0.11,0.05,0.16,0.11,0.05,0.16,0.11,0.16,Matches,ef9c1c95
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,23,20,1829,20.3,0,0,0,0,0,0.25,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,Matches,13d820de
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23,23,2070,23,0.04,0.09,0.04,0,0,0.17,0,0.04,0.09,0.13,0.04,0.13,0.01,0.01,0.08,0.09,0.01,0.08,0.09,0.01,0.09,Matches,872cd68c
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,22,15,1442,16,0.25,0.19,0.25,0,0.06,0.19,0,0.25,0.19,0.44,0.25,0.44,0.31,0.26,0.11,0.36,0.3,0.11,0.41,0.26,0.36,Matches,b35db3f6
93,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,9,9,764,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,011d8c56
94,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,56cafd0a
95,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,30,28,2426,27,0,0.3,0,0,0,0.15,0,0,0.3,0.3,0,0.3,0.01,0.01,0.12,0.13,0.02,0.12,0.13,0.02,0.13,Matches,3024e383
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,12,9,893,9.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0.02,0.02,0,0.03,0.02,0,0.03,0.02,0.03,Matches,0c971997
97,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,30,1986,25,20,1872,20.8,0.05,0.14,0.05,0,0,0.29,0.1,0.05,0.14,0.19,0.05,0.19,0.03,0.03,0.15,0.19,0.03,0.15,0.19,0.03,0.19,Matches,bbafc0c4
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,8,8,592,6.6,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,97c9bce3
99,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,33,28,2571,28.6,0.38,0.14,0.21,0.17,0.17,0.03,0,0.39,0.14,0.53,0.21,0.35,0.3,0.17,0.07,0.24,0.3,0.07,0.38,0.17,0.24,Matches,43a2e16c
100,Waldemar Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,27,26,2278,25.3,0.04,0,0.04,0,0,0.04,0,0.04,0,0.04,0.04,0.04,0.07,0.07,0,0.07,0.07,0,0.07,0.07,0.07,Matches,5e66fa06
101,Luca Antonelli,it ITA,DFMF,Milan,it Serie A,30,1987,6,1,144,1.6,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,40f0ed6c
102,Michail Antonio,jm JAM,FWMF,West Ham,eng Premier League,27,1990,21,16,1354,15,0.2,0.07,0.2,0,0,0.07,0,0.2,0.07,0.27,0.2,0.27,0.17,0.17,0.05,0.23,0.17,0.05,0.22,0.17,0.22,Matches,ac05f970
103,Mirko Antonucci,it ITA,FW,Roma,it Serie A,18,1999,2,0,31,0.3,0,3.33,0,0,0,0,0,0,2.9,2.9,0,2.9,1.67,1.67,0.67,2.33,1.5,0.71,2.21,1.5,2.21,Matches,91976866
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30,1987,34,31,2799,31.1,0,0.06,0,0,0.03,0.45,0,0,0.06,0.06,0,0.06,0.05,0.03,0.07,0.1,0.05,0.07,0.12,0.03,0.1,Matches,3e4f735d
105,Dennis Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,29,22,1954,21.7,0,0.28,0,0,0,0.23,0,0,0.28,0.28,0,0.28,0.04,0.04,0.08,0.12,0.04,0.08,0.12,0.04,0.12,Matches,c311243f
106,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,32,27,2433,27,0.22,0.19,0.22,0,0,0.04,0,0.22,0.18,0.41,0.22,0.41,0.21,0.21,0.14,0.35,0.21,0.15,0.35,0.21,0.35,Matches,a5db0bec
107,Alberto Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,21,15,1297,14.4,0,0,0,0,0,0.28,0,0,0,0,0,0,0.05,0.05,0.05,0.1,0.05,0.05,0.1,0.05,0.1,Matches,ad340e17
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,27,26,2124,23.6,0.04,0.04,0.04,0,0,0.38,0.04,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.05,0.11,0.06,0.05,0.1,0.06,0.1,Matches,58afe001
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20,1997,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0.05,0,0.05,Matches,2b15a82a
