Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,24.3,0.21,0.04,0.21,0,0,0.29,0,0.21,0.04,0.25,0.21,0.25,0.14,0.14,0.07,0.21,0.14,0.07,0.21,0.14,0.21,Matches,5f09991f
2,Rolando Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,0.13,0.1,0,0.1,0.1,0.1,Matches,c5942695
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.09,0.04,0.04,0.08,0.04,0.08,Matches,c5942695
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,11.7,0.09,0,0.09,0,0,0.26,0,0.09,0,0.09,0.09,0.09,0.03,0.03,0.05,0.08,0.02,0.05,0.07,0.02,0.07,Matches,1c529186
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,499,5.5,0,0,0,0,0,0.55,0,0,0,0,0,0,0.02,0.02,0,0.02,0.02,0,0.02,0.02,0.02,Matches,2f798b41
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.22,0,0.2,0.2,0,0.2,Matches,bbe88396
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,13.1,0,0.08,0,0,0,0.15,0,0,0.08,0.08,0,0.08,0.08,0.08,0.02,0.09,0.08,0.02,0.09,0.08,0.09,Matches,a4c3f7af
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,25.6,0,0.08,0,0,0,0.12,0,0,0.08,0.08,0,0.08,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.02,0.03,Matches,565bf0da
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,15,1726,19.2,0.26,0.05,0.26,0,0,0,0,0.26,0.05,0.31,0.26,0.31,0.35,0.35,0.05,0.4,0.35,0.05,0.4,0.35,0.4,Matches,f586779e
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4,0,0,0,0,0,0.21,0,0,0,0,0,0,0.02,0.02,0.05,0.07,0.02,0.06,0.08,0.02,0.08,Matches,1c08a3c8
