Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Ismael Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a7e4760c
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,1777,19.7,0,0.05,0,0,0,0.1,0,0,0.05,0.05,0,0.05,0.06,0.06,0.04,0.1,0.06,0.04,0.1,0.06,0.1,Matches,5f09991f
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2590ddf7
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,2889,32.1,0.09,0,0.09,0,0,0.12,0.03,0.09,0,0.09,0.09,0.09,0.05,0.05,0.01,0.06,0.05,0.01,0.06,0.05,0.06,Matches,32c2d95f
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9f9e1b9c
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,1320,14.7,0,0,0,0,0,0.34,0,0,0,0,0,0,0.07,0.07,0.05,0.12,0.07,0.05,0.12,0.07,0.12,Matches,a4c3f7af
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,2963,32.9,0.09,0.03,0.09,0,0,0.15,0,0.09,0.03,0.12,0.09,0.12,0.04,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.08,Matches,31626657
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,0.3,0.2,0.3,0,0,0.1,0,0.3,0.2,0.49,0.3,0.49,0.21,0.21,0.03,0.24,0.21,0.03,0.24,0.21,0.24,Matches,469d3d84
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0e46fa2f
10,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,1260,14,0,0,0,0,0,0.07,0,0,0,0,0,0,0.09,0.09,0.01,0.09,0.08,0,0.09,0.08,0.09,Matches,8bc373ea
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,14,1222,13.6,0.07,0,0.07,0,0,0.37,0.07,0.07,0,0.07,0.07,0.07,0.05,0.05,0.04,0.08,0.05,0.03,0.08,0.05,0.08,Matches,565bf0da
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,1040,11.6,0.52,0.09,0.52,0,0,0,0,0.52,0.09,0.61,0.52,0.61,0.55,0.55,0.08,0.63,0.56,0.07,0.63,0.56,0.63,Matches,f586779e
13,Amir Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1c08a3c8
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,14,2,441,4.9,0,0,0,0,0,0.41,0,0,0,0,0,0,0.06,0.06,0,0.06,0.06,0,0.06,0.06,0.06,Matches,1040647
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,2813,31.3,0,0.03,0,0,0,0.29,0.03,0,0.03,0.03,0,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.06,Matches,b96b595c
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,0.91,0,0.91,0,0,0.91,0,0.9,0,0.9,0.9,0.9,0.27,0.27,0,0.27,0.24,0,0.24,0.24,0.24,Matches,dc38e3bc
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,2330,25.9,0.04,0.08,0.04,0,0,0.19,0,0.04,0.08,0.12,0.04,0.12,0.04,0.04,0.11,0.15,0.04,0.11,0.15,0.04,0.15,Matches,81442ecb
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,2667,29.6,0.3,0.17,0.3,0,0,0.03,0,0.3,0.17,0.47,0.3,0.47,0.29,0.29,0.2,0.49,0.29,0.19,0.49,0.29,0.49,Matches,f2bf1b0f
19,Tyler Adams,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,27,21,1850,20.6,0.05,0.05,0.05,0,0,0.15,0,0.05,0.05,0.1,0.05,0.1,0.04,0.04,0.04,0.09,0.04,0.04,0.09,0.04,0.09,Matches,2b09d998
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3,0.38,0.57,0.38,0,0,0.38,0,0.38,0.56,0.94,0.38,0.94,0.42,0.42,0.34,0.75,0.41,0.33,0.75,0.41,0.75,Matches,2.29E+101
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,33,2953,32.8,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0.03,0.01,0.05,0.03,0.01,0.04,0.03,0.04,Matches,c81d773d
