Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.43,0,0.43,0.43,0.43,Matches,3ed84b2c
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,2418,26.9,0.07,0.19,0.07,0,0,0.22,0,0.07,0.19,0.26,0.07,0.26,0.05,0.05,0.17,0.23,0.05,0.18,0.23,0.05,0.23,Matches,26777636
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7005ac66
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f76e6b4e
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,26,16,1558,17.3,0,0.06,0,0,0,0.06,0,0,0.06,0.06,0,0.06,0.01,0.01,0.05,0.06,0.01,0.05,0.06,0.01,0.06,Matches,355c883a
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,Matches,8bc8829a
28,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,20,1999,15,8,701,7.8,0.13,0,0.13,0,0,0,0,0.13,0,0.13,0.13,0.13,0.08,0.08,0.05,0.13,0.07,0.05,0.13,0.07,0.13,Matches,cb6d81b3
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,1356,15.1,0.07,0.13,0.07,0,0,0.26,0,0.07,0.13,0.2,0.07,0.2,0.13,0.13,0.05,0.18,0.13,0.05,0.18,0.13,0.18,Matches,46fa7204
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,3147,35,0.09,0.03,0.09,0,0,0.17,0,0.09,0.03,0.11,0.09,0.11,0.08,0.08,0.03,0.11,0.08,0.03,0.11,0.08,0.11,Matches,288e1e13
31,Sergio Agüero,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,12,7,559,6.2,0.65,0.16,0.48,0.16,0.32,0,0,0.64,0.16,0.81,0.48,0.64,0.55,0.29,0.21,0.5,0.54,0.21,0.75,0.3,0.51,Matches,4d034881
32,Ruben Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,33,27,2225,24.7,0.04,0.12,0.04,0,0,0.24,0,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.19,0.23,0.05,0.19,0.23,0.05,0.23,Matches,3dd738a1
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,0.71,0.36,0,0,0,0,0,0.11,0.11,0,0.14,0.12,0.02,0.13,0.12,0.13,Matches,a6c58494
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0.16,0.16,0.03,0.19,0.16,0.03,0.19,0.16,0.19,Matches,5ea9ebd4
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,27,26,2146,23.8,0.08,0.08,0.08,0,0,0.38,0,0.08,0.08,0.17,0.08,0.17,0.1,0.08,0.05,0.13,0.1,0.05,0.15,0.08,0.13,Matches,48b28bfd
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0.26,0,0.26,0.26,0.26,Matches,48b28bfd
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,14,1289,14.3,0,0,0,0,0,0.21,0,0,0,0,0,0,0.06,0.06,0.04,0.1,0.06,0.04,0.1,0.06,0.1,Matches,18abe173
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,31,2664,29.6,0.07,0.03,0.07,0,0,0.1,0,0.07,0.03,0.1,0.07,0.1,0.03,0.03,0.05,0.08,0.03,0.05,0.08,0.03,0.08,Matches,246d153b
39,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,21,16,1404,15.6,0.06,0.06,0.06,0,0,0.06,0,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.06,0.1,0.04,0.06,0.1,0.04,0.1,Matches,9b398aea
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,3,2,187,2.1,0,0.48,0,0,0,0,0,0,0.48,0.48,0,0.48,0.05,0.05,0.19,0.19,0.04,0.17,0.21,0.04,0.21,Matches,9b398aea
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,33,31,2780,30.9,0.06,0,0.06,0,0,0.1,0.03,0.06,0,0.06,0.06,0.06,0.04,0.04,0.01,0.05,0.04,0.01,0.05,0.04,0.05,Matches,d6192210
42,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,35,34,2967,33,0.48,0.12,0.36,0.12,0.15,0.15,0,0.49,0.12,0.61,0.36,0.49,0.5,0.38,0.11,0.5,0.5,0.11,0.61,0.39,0.5,Matches,462475ed
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,26,2350,26.1,0.08,0,0.08,0,0,0.15,0,0.08,0,0.08,0.08,0.08,0.07,0.07,0,0.07,0.07,0,0.07,0.07,0.07,Matches,89ac64a6
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,10,865,9.6,0.1,0,0.1,0,0,0.31,0.1,0.1,0,0.1,0.1,0.1,0.04,0.04,0.03,0.06,0.04,0.03,0.07,0.04,0.07,Matches,f2a68b97
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.69,0,0.69,0.67,0,0.67,0.67,0.67,Matches,414e1f69
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,10,9,797,8.9,0.11,0,0.11,0,0,0.45,0,0.11,0,0.11,0.11,0.11,0.01,0.01,0,0.01,0.01,0,0.02,0.01,0.02,Matches,eaeca114
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,10,4,378,4.2,0,0,0,0,0,1.19,0.24,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08,Matches,31f5b89b
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,32,6,1056,11.7,0,0.09,0,0,0,0.77,0,0,0.09,0.09,0,0.09,0.08,0.08,0.08,0.15,0.08,0.08,0.16,0.08,0.16,Matches,fdf4b948
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,16,14,1184,13.2,0.08,0,0.08,0,0,0.08,0,0.08,0,0.08,0.08,0.08,0.01,0.01,0.03,0.03,0,0.03,0.03,0,0.03,Matches,6ec6fde0
50,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,32,30,2675,29.7,0.07,0.13,0.07,0,0,0.13,0,0.07,0.13,0.2,0.07,0.2,0.04,0.04,0.08,0.12,0.04,0.08,0.12,0.04,0.12,Matches,05439de2
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,22,17,1505,16.7,0,0.12,0,0,0,0.24,0,0,0.12,0.12,0,0.12,0.01,0.01,0.07,0.08,0.01,0.07,0.08,0.01,0.08,Matches,5.31E+70
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,788be7f9
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,25,12,1245,13.8,0.8,0.14,0.65,0.14,0.14,0.14,0,0.8,0.14,0.94,0.65,0.8,0.47,0.36,0.05,0.41,0.47,0.05,0.52,0.36,0.41,Matches,834d0be5
54,Jordi Alba,es ESP,DF,Barcelona,es La Liga,31,1989,35,34,3025,33.6,0.09,0.15,0.09,0,0,0.27,0,0.09,0.15,0.24,0.09,0.24,0.07,0.07,0.22,0.29,0.07,0.22,0.29,0.07,0.29,Matches,4.60E+197
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,34,33,2618,29.1,0.31,0.07,0.31,0,0,0.17,0,0.31,0.07,0.38,0.31,0.38,0.19,0.18,0.28,0.46,0.19,0.28,0.47,0.18,0.46,Matches,5294a83f
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,35,35,3115,34.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0.02,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.05,Matches,4bd414c1
57,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,31,17,1746,19.4,0.05,0.26,0.05,0,0,0.1,0,0.05,0.26,0.31,0.05,0.31,0.07,0.07,0.23,0.29,0.07,0.23,0.29,0.07,0.29,Matches,b827d5b3
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,27,19,1544,17.2,0.35,0.23,0.29,0.06,0.12,0,0,0.35,0.23,0.58,0.29,0.52,0.48,0.39,0.19,0.58,0.48,0.19,0.67,0.39,0.58,Matches,a7a9d95a
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,13,8,909,10.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,Matches,ba71d071
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,24,20,1854,20.6,0.05,0,0.05,0,0,0.19,0,0.05,0,0.05,0.05,0.05,0.07,0.07,0.11,0.18,0.07,0.11,0.18,0.07,0.18,Matches,77e84962
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,30,25,2165,24.1,0.04,0,0.04,0,0,0.41,0,0.04,0,0.04,0.04,0.04,0.07,0.07,0.02,0.1,0.07,0.03,0.09,0.07,0.09,Matches,036bba5f
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,17,14,1299,14.4,0,0,0,0,0,0.14,0,0,0,0,0,0,0.03,0.03,0.01,0.04,0.03,0.01,0.04,0.03,0.04,Matches,bb08bce9
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,25,25,2240,24.9,0.04,0,0.04,0,0,0.08,0,0.04,0,0.04,0.04,0.04,0.03,0.03,0.01,0.05,0.03,0.01,0.05,0.03,0.05,Matches,f7d50789
64,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,22,6,827,9.2,0.11,0.11,0.11,0,0,0.54,0,0.11,0.11,0.22,0.11,0.22,0.11,0.11,0.09,0.18,0.11,0.08,0.19,0.11,0.19,Matches,3d7e48ce
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,2,0,48,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,6c811eb7
66,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,22,15,1366,15.2,0.13,0.13,0.13,0,0,0.07,0,0.13,0.13,0.26,0.13,0.26,0.13,0.13,0.13,0.26,0.12,0.13,0.26,0.12,0.26,Matches,6c811eb7
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8fa8f8d2
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,36,34,3031,33.7,0.06,0.21,0.06,0,0,0.06,0,0.06,0.21,0.27,0.06,0.27,0.08,0.08,0.24,0.32,0.08,0.24,0.32,0.08,0.32,Matches,cd1acf9d
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.13,0.22,0.35,0.13,0.35,Matches,1c772b46
70,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,21,1,348,3.9,0,0,0,0,0,0.26,0,0,0,0,0,0,0.36,0.36,0.03,0.38,0.36,0.03,0.39,0.36,0.39,Matches,f8405304
71,Ezgjan Alioski,mk MKD,DF,Leeds United,eng Premier League,28,1992,36,29,2461,27.3,0.07,0.11,0.07,0,0,0.26,0,0.07,0.11,0.18,0.07,0.18,0.05,0.05,0.11,0.17,0.05,0.11,0.17,0.05,0.17,Matches,1a7fcf39
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bdedd861
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,33,2970,33,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,Matches,7a2e46a8
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,12,1080,12,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b052b8bf
75,Allan,br BRA,MF,Everton,eng Premier League,29,1991,24,23,2051,22.8,0,0,0,0,0,0.26,0,0,0,0,0,0,0.01,0.01,0.04,0.05,0.01,0.04,0.05,0.01,0.05,Matches,cc700722
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,15,7,620,6.9,0,0.14,0,0,0,0,0,0,0.15,0.15,0,0.15,0.19,0.19,0.13,0.32,0.19,0.13,0.32,0.19,0.32,Matches,cea4ee8f
77,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,34,28,2429,27,0.15,0.04,0.15,0,0,0.11,0,0.15,0.04,0.19,0.15,0.19,0.12,0.12,0.1,0.22,0.12,0.1,0.22,0.12,0.22,Matches,862a1c15
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,13,11,960,10.7,0.19,0,0.19,0,0,0.19,0,0.19,0,0.19,0.19,0.19,0.16,0.16,0.1,0.26,0.16,0.11,0.27,0.16,0.27,Matches,f4290206
79,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,27,17,1568,17.4,0,0,0,0,0,0.17,0,0,0,0,0,0,0.02,0.02,0.05,0.07,0.02,0.05,0.07,0.02,0.07,Matches,88d91621
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,23,22,1948,21.6,0.05,0,0.05,0,0,0.28,0,0.05,0,0.05,0.05,0.05,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.04,Matches,3ecc11d8
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,19,18,1632,18.1,0.06,0,0.06,0,0,0.17,0,0.06,0,0.06,0.06,0.06,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,Matches,585a73a8
82,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,21,1998,15,10,896,10,0.1,0,0.1,0,0,0.2,0,0.1,0,0.1,0.1,0.1,0.07,0.07,0.05,0.11,0.07,0.05,0.11,0.07,0.11,Matches,ad1f61f3
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,24,20,1504,16.7,0,0,0,0,0,0.36,0,0,0,0,0,0,0.13,0.13,0.02,0.14,0.12,0.02,0.14,0.12,0.14,Matches,9260926b
84,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,2,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.03,0.02,0.04,0.03,0.04,Matches,d7bf3d19
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,69c5633e
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,12,8,722,8,0.13,0,0.13,0,0,0.38,0,0.12,0,0.12,0.12,0.12,0.05,0.05,0,0.05,0.05,0,0.05,0.05,0.05,Matches,1a4ef233
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,13,10,813,9,0.11,0,0.11,0,0,0.33,0.11,0.11,0,0.11,0.11,0.11,0.02,0.02,0.03,0.06,0.02,0.03,0.06,0.02,0.06,Matches,22721b88
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,23,5,753,8.4,0,0.12,0,0,0,0.48,0,0,0.12,0.12,0,0.12,0.17,0.17,0.18,0.35,0.17,0.18,0.35,0.17,0.35,Matches,2945f4b7
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,35b4bc62
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,29,20,1890,21,0.1,0.29,0.1,0,0,0.24,0,0.1,0.29,0.38,0.1,0.38,0.1,0.1,0.14,0.24,0.1,0.14,0.24,0.1,0.24,Matches,555d5edd
91,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,25,23,2089,23.2,0,0,0,0,0,0.13,0,0,0,0,0,0,0.01,0.01,0.04,0.06,0.01,0.04,0.06,0.01,0.06,Matches,10b9fa99
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,31,28,2441,27.1,0,0,0,0,0,0.26,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.02,0.03,Matches,5a2cb25d
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,23,7,800,8.9,0,0,0,0,0,0.11,0,0,0,0,0,0,0.04,0.04,0.01,0.04,0.04,0.01,0.05,0.04,0.05,Matches,c46736ab
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,31,30,2730,30.3,0.03,0.03,0.03,0,0,0.23,0.03,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.02,0.05,0.04,0.02,0.05,0.04,0.05,Matches,e34fc66d
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,3,2,192,2.1,0,0,0,0,0,0.48,0,0,0,0,0,0,0.14,0.14,0,0.14,0.14,0,0.14,0.14,0.14,Matches,e34fc66d
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,3,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ca241ad3
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,de31038e
98,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9f1893b9
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,16,14,1126,12.5,0.24,0,0.16,0.08,0.08,0.08,0,0.24,0,0.24,0.16,0.16,0.44,0.38,0.02,0.41,0.44,0.03,0.47,0.38,0.41,Matches,b4cf5806
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,326d09ef
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,35,35,2885,32.1,0,0.03,0,0,0,0.31,0,0,0.03,0.03,0,0.03,0.03,0.03,0.04,0.07,0.03,0.04,0.08,0.03,0.08,Matches,ef9c1c95
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,29,29,2526,28.1,0.18,0.07,0.18,0,0,0.18,0.04,0.18,0.07,0.25,0.18,0.25,0.09,0.09,0.08,0.17,0.09,0.08,0.17,0.09,0.17,Matches,e0b113a7
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,26,21,1672,18.6,0,0.05,0,0,0,0.27,0,0,0.05,0.05,0,0.05,0.02,0.02,0.03,0.04,0.02,0.03,0.04,0.02,0.04,Matches,d8992b84
104,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b1e5bbec
105,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,56cafd0a
106,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,14,11,901,10,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.08,0.08,0,0.08,0.08,0,0.08,Matches,3024e383
107,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,26,24,2161,24,0.17,0.17,0.17,0,0,0.08,0,0.17,0.17,0.33,0.17,0.33,0.16,0.16,0.21,0.37,0.16,0.21,0.37,0.16,0.37,Matches,3.09E+100
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0e0e4422
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f5409698
110,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,31,20,1947,21.6,0.05,0.28,0,0.05,0.05,0.05,0,0.05,0.28,0.32,0,0.28,0.08,0.04,0.23,0.27,0.08,0.23,0.31,0.04,0.27,Matches,bbafc0c4
