Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.22,0.22,0,0.2,0.2,0,0.2,Matches,a7e4760c
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,35.5,0.08,0.06,0.08,0,0,0.08,0,0.08,0.06,0.14,0.08,0.14,0.08,0.08,0.09,0.17,0.08,0.09,0.17,0.08,0.17,Matches,5f09991f
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.02,0.03,0,0.02,0.02,0,0.02,Matches,1c529186
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches,2590ddf7
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38,0,0,0,0,0,0.05,0,0,0,0,0,0,0.04,0.04,0,0.05,0.04,0,0.05,0.04,0.05,Matches,32c2d95f
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,22.5,0.13,0,0.09,0.04,0.04,0.27,0,0.13,0,0.13,0.09,0.09,0.14,0.11,0.07,0.17,0.14,0.06,0.2,0.11,0.17,Matches,a4c3f7af
7,Charles Abi,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.45,0,0.45,0.45,0.45,Matches,469d3d84
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,0.13,0,0,0,0,0,0,0.03,0.03,0.01,0.04,0.03,0.01,0.04,0.03,0.04,Matches,565bf0da
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,0.57,0,0,0,0,0,0,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,Matches,1c08a3c8
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8,0.08,0.03,0.08,0,0,0.11,0.03,0.08,0.03,0.11,0.08,0.11,0.08,0.08,0.02,0.1,0.08,0.02,0.1,0.08,0.1,Matches,b96b595c
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,16.8,0.12,0,0.12,0,0,0.24,0,0.12,0,0.12,0.12,0.12,0.1,0.1,0.04,0.13,0.09,0.04,0.13,0.09,0.13,Matches,d7403bd5
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,8,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0.03,0.03,0.09,0.11,0.03,0.09,0.12,0.03,0.12,Matches,2b09d998
