Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,23,1990,28,26,2307,25.6,0,0.2,0,0,0,0.16,0,0,0.2,0.2,0,0.2,Matches,5f09991f
2,Rolando Aarons,eng ENG,MF,Newcastle Utd,eng Premier League,18,1995,4,0,132,1.5,0.67,0,0.67,0,0,0.67,0,0.68,0,0.68,0.68,0.68,Matches,c5942695
3,Ignazio Abate,it ITA,DFMF,Milan,it Serie A,27,1986,23,21,1884,20.9,0,0.29,0,0,0,0.24,0,0,0.29,0.29,0,0.29,Matches,1c529186
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,37,1977,11,10,906,10.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,322421c2
5,Kassim Abdallah,km COM,DF,Evian,fr Ligue 1,27,1987,30,29,2581,28.7,0,0.1,0,0,0,0.17,0.03,0,0.1,0.1,0,0.1,Matches,6ae490cc
6,Aymen Abdennour,tn TUN,DF,Monaco,fr Ligue 1,24,1989,18,17,1525,16.9,0,0,0,0,0,0.12,0.06,0,0,0,0,0,Matches,2f798b41
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,20,1994,23,18,1522,16.9,0,0.06,0,0,0,0.36,0,0,0.06,0.06,0,0.06,Matches,4d9ee090
8,Mehdi Abeid,dz ALG,MF,Newcastle Utd,eng Premier League,21,1992,13,7,664,7.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a4c3f7af
9,Vincent Aboubakar,cm CMR,FW,Lorient,fr Ligue 1,22,1992,2,2,180,2,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0,Matches,8637e09a
10,David Abraham,ar ARG,DF,Hoffenheim,de Bundesliga,28,1986,14,9,894,9.9,0,0,0,0,0,0.3,0,0,0,0,0,0,Matches,565bf0da
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,26,1988,32,32,2878,32,0.09,0,0.09,0,0,0.25,0.03,0.09,0,0.09,0.09,0.09,Matches,b96b595c
12,Karim Achahbar,ma MAR,FW,Guingamp,fr Ligue 1,18,1996,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,24cedcb1
13,Afriyie Acquah,gh GHA,MF,Parma,it Serie A,22,1992,14,12,1119,12.4,0,0,0,0,0,0.56,0.08,0,0,0,0,0,Matches,d7403bd5
14,Afriyie Acquah,gh GHA,MF,Sampdoria,it Serie A,22,1992,10,10,713,7.9,0.13,0,0.13,0,0,0.51,0.13,0.13,0,0.13,0.13,0.13,Matches,d7403bd5
15,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,28,1985,29,15,1511,16.8,0.42,0.06,0.36,0.06,0.06,0.3,0,0.42,0.06,0.48,0.36,0.42,Matches,aff418dc
16,Emmanuel Adebayor,tg TOG,FW,Tottenham,eng Premier League,30,1984,13,9,813,9,0.22,0.11,0.22,0,0,0.11,0,0.22,0.11,0.33,0.22,0.33,Matches,936d9e3e
17,Jordan Adéoti,bj BEN,DFMF,Caen,fr Ligue 1,25,1989,28,18,1746,19.4,0,0.05,0,0,0,0.26,0,0,0.05,0.05,0,0.05,Matches,508c8f3e
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,29,1985,12,11,1060,11.8,0,0,0,0,0,0.08,0,0,0,0,0,0,Matches,f71890f5
19,Issam El Adoua,ma MAR,DF,Levante,es La Liga,27,1986,4,3,290,3.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,16edc522
20,Adrián,es ESP,GK,West Ham,eng Premier League,27,1987,38,38,3392,37.7,0,0,,,,0.08,0.03,0,0,0,,,Matches,f76e6b4e
21,Adriano,br BRA,DFMF,Barcelona,es La Liga,29,1984,16,10,962,10.7,0,0.09,0,0,0,0.19,0,0,0.09,0.09,0,0.09,Matches,9d8586c4
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,33,1981,31,30,2579,28.7,0.63,0.1,0.45,0.17,0.17,0.42,0,0.63,0.1,0.73,0.45,0.56,Matches,2.93E+06
23,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,36,1978,17,16,1440,16,0,0,0,0,0,0,0,0,0,0,0,0,Matches,14a03f68
24,Gabby Agbonlahor,eng ENG,FWMF,Aston Villa,eng Premier League,27,1986,34,30,2693,29.9,0.2,0.03,0.2,0,0,0.23,0.03,0.2,0.03,0.23,0.2,0.23,Matches,db80f5f1
25,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,27,1987,31,21,1946,21.6,0.32,0.05,0.32,0,0,0.09,0,0.32,0.05,0.37,0.32,0.37,Matches,c84c1afc
26,Federico Agliardi,it ITA,GK,Cesena,it Serie A,31,1983,10,9,870,9.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,18b0ad94
27,Alessandro Agostini,it ITA,DF,Hellas Verona,it Serie A,35,1979,22,21,1911,21.2,0,0,0,0,0,0.19,0,0,0,0,0,0,Matches,9549f66d
28,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,26,1988,33,30,2531,28.1,0.93,0.28,0.75,0.18,0.21,0.14,0,0.92,0.28,1.21,0.75,1.03,Matches,4d034881
29,Abel Aguilar,co COL,MF,Toulouse,fr Ligue 1,29,1985,21,18,1663,18.5,0,0.05,0,0,0,0.27,0,0,0.05,0.05,0,0.05,Matches,6936b41b
30,Rodrigo Aguirre,uy URU,FW,Empoli,it Serie A,19,1994,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b5691f5d
31,Rodrigo Aguirre,uy URU,FW,Udinese,it Serie A,19,1994,7,1,222,2.5,0.4,0,0.4,0,0,0.8,0,0.41,0,0.41,0.41,0.41,Matches,b5691f5d
32,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,23,1990,27,20,1874,20.8,0.05,0.05,0.05,0,0,0.24,0.05,0.05,0.05,0.1,0.05,0.1,Matches,fe0b8f0e
33,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,22,1991,23,23,2070,23,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0b64b1e6
34,Stefan Aigner,de GER,FWMF,Eint Frankfurt,de Bundesliga,26,1987,28,23,2088,23.2,0.39,0,0.39,0,0,0.34,0,0.39,0,0.39,0.39,0.39,Matches,17cc3f63
35,Nathan Aké,nl NED,DFMF,Chelsea,eng Premier League,19,1995,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eaeca114
