Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
18,Robert Acquafresca,it ITA,FW,Bologna,it Serie A,23,1987,32,17,1594,17.7,0.28,0.06,0.28,0,0,0.11,0,0.28,0.06,0.34,0.28,0.34,Matches,d2b115ae
19,Afriyie Acquah,gh GHA,MF,Palermo,it Serie A,19,1992,20,10,985,10.9,0,0,0,0,0,0.46,0,0,0,0,0,0,Matches,d7403bd5
20,Charlie Adam,sct SCO,MF,Liverpool,eng Premier League,25,1985,28,27,2168,24.1,0.08,0.25,0.04,0.04,0.08,0.21,0.04,0.08,0.25,0.33,0.04,0.29,Matches,aff418dc
21,Antonio Adán,es ESP,GK,Real Madrid,es La Liga,24,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
22,Emmanuel Adebayor,tg TOG,FW,Tottenham,eng Premier League,27,1984,33,32,2827,31.4,0.54,0.35,0.45,0.1,0.13,0.1,0,0.54,0.35,0.89,0.45,0.8,Matches,936d9e3e
23,Youssef Adnane,fr FRA,FW,Evian,fr Ligue 1,26,1985,9,3,278,3.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0cb152eb
24,Adriano,br BRA,DFMF,Barcelona,es La Liga,26,1984,26,20,1722,19.1,0.05,0.21,0.05,0,0,0.16,0,0.05,0.21,0.26,0.05,0.26,Matches,9d8586c4
25,Aritz Aduriz,es ESP,FW,Valencia,es La Liga,30,1981,29,11,1302,14.5,0.48,0.07,0.48,0,0,0.34,0.07,0.48,0.07,0.55,0.48,0.55,Matches,2.93E+06
26,Ibrahim Afellay,nl NED,FWMF,Barcelona,es La Liga,25,1986,4,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9a8c6673
27,François Affolter,ch SUI,DF,Werder Bremen,de Bundesliga,20,1991,13,13,1081,12,0,0,0,0,0,0.25,0,0,0,0,0,0,Matches,3bab978e
28,Michael Agazzi,it ITA,GK,Cagliari,it Serie A,27,1984,36,36,3197,35.5,0,0,0,0,0,0.11,0,0,0,0,0,0,Matches,0eda0ab8
29,Gabby Agbonlahor,eng ENG,FWMF,Aston Villa,eng Premier League,24,1986,33,32,2762,30.7,0.16,0.16,0.16,0,0,0.2,0,0.16,0.16,0.33,0.16,0.33,Matches,db80f5f1
30,Daniel Agger,dk DEN,DF,Liverpool,eng Premier League,26,1984,27,24,2140,23.8,0.04,0.04,0.04,0,0,0.25,0,0.04,0.04,0.08,0.04,0.08,Matches,f1ea4af0
31,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,24,1987,36,27,2183,24.3,0.41,0.12,0.41,0,0,0.04,0,0.41,0.12,0.54,0.41,0.54,Matches,c84c1afc
32,Federico Agliardi,it ITA,GK,Bologna,it Serie A,28,1983,10,9,831,9.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,18b0ad94
33,Alessandro Agostini,it ITA,DF,Cagliari,it Serie A,32,1979,35,35,3072,34.1,0,0.03,0,0,0,0.09,0,0,0.03,0.03,0,0.03,Matches,9549f66d
34,Yannick Aguemon,bj BEN,FWMF,Toulouse,fr Ligue 1,19,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6dc9d79c
35,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,23,1988,34,31,2575,28.6,0.8,0.28,0.7,0.1,0.1,0.07,0,0.8,0.28,1.08,0.7,0.98,Matches,4d034881
36,Matías Aguirregaray,uy URU,DFMF,Palermo,it Serie A,22,1989,12,5,616,6.8,0,0.15,0,0,0,0.44,0,0,0.15,0.15,0,0.15,Matches,8617e3d9
37,Kemy Agustien,cw CUW,DFMF,Swansea City,eng Premier League,24,1986,13,7,713,7.9,0,0,0,0,0,0.38,0,0,0,0,0,0,Matches,027a5151
38,Patrick Agyemang,gh GHA,FW,QPR,eng Premier League,30,1980,2,2,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,80f1245c
39,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,20,1990,10,6,612,6.8,0,0,0,0,0,0.29,0,0,0,0,0,0,Matches,fe0b8f0e
40,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,19,1991,38,38,3420,38,0,0,0,0,0,0.03,0,0,0,0,0,0,Matches,0b64b1e6
41,Karim Aït-Fana,ma MAR,FWMF,Montpellier,fr Ligue 1,22,1989,11,6,530,5.9,0.34,0.17,0.34,0,0,0.17,0,0.34,0.17,0.51,0.34,0.51,Matches,e4f090b8
42,Yakubu Aiyegbeni,ng NGA,FW,Blackburn,eng Premier League,28,1982,30,29,2442,27.1,0.63,0.07,0.48,0.15,0.18,0.04,0.04,0.63,0.07,0.7,0.48,0.55,Matches,a1fe3f62
43,Jean-Daniel Akpa-Akpro,ci CIV,DFMF,Toulouse,fr Ligue 1,18,1992,13,5,604,6.7,0,0,0,0,0,0.3,0,0,0,0,0,0,Matches,fdf4b948
44,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,19,1992,30,14,1546,17.2,0.12,0.12,0.12,0,0,0.06,0,0.12,0.12,0.23,0.12,0.23,Matches,05439de2
45,Jordi Alba,es ESP,DFMF,Valencia,es La Liga,22,1989,32,27,2543,28.3,0.07,0.18,0.07,0,0,0.46,0.04,0.07,0.18,0.25,0.07,0.25,Matches,4.60E+197
46,David Albelda,es ESP,DFMF,Valencia,es La Liga,33,1977,21,19,1586,17.6,0,0,0,0,0,0.57,0.06,0,0,0,0,0,Matches,def14f68
47,Luis Alberto,es ESP,FWMF,Sevilla,es La Liga,18,1992,5,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5294a83f
48,Raúl Albiol,es ESP,DF,Real Madrid,es La Liga,25,1985,10,5,621,6.9,0,0,0,0,0,0.14,0,0,0,0,0,0,Matches,4bd414c1
49,Marc Albrighton,eng ENG,DFFW,Aston Villa,eng Premier League,21,1989,26,15,1498,16.6,0.12,0.12,0.12,0,0,0.18,0,0.12,0.12,0.24,0.12,0.24,Matches,b827d5b3
50,Paco Alcácer,es ESP,FW,Valencia,es La Liga,17,1993,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a7a9d95a
51,Thiago Alcántara,es ESP,MF,Barcelona,es La Liga,20,1991,27,20,1825,20.3,0.1,0.1,0.1,0,0,0.15,0.05,0.1,0.1,0.2,0.1,0.2,Matches,77e84962
52,Antolín Alcaraz,py PAR,DF,Wigan Athletic,eng Premier League,29,1982,25,25,2172,24.1,0.08,0,0.08,0,0,0.21,0,0.08,0,0.08,0.08,0.08,Matches,cee38e27
53,Danijel Aleksić,rs SRB,FWMF,Saint-Étienne,fr Ligue 1,20,1991,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d68cb24c
54,Alex,br BRA,DF,Chelsea,eng Premier League,29,1982,3,3,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,58721835
55,Alex,br BRA,DF,Paris S-G,fr Ligue 1,29,1982,15,15,1287,14.3,0.14,0.07,0.14,0,0,0.14,0,0.14,0.07,0.21,0.14,0.21,Matches,58721835
56,Alexis,es ESP,DF,Getafe,es La Liga,25,1985,12,11,992,11,0.09,0,0.09,0,0,0.27,0,0.09,0,0.09,0.09,0.09,Matches,db0cd1ae
57,Alexis,es ESP,DF,Sevilla,es La Liga,25,1985,1,1,90,1,1,0,1,0,0,1,0,1,0,1,1,1,Matches,db0cd1ae
58,Alejandro Alfaro,es ESP,FWMF,Mallorca,es La Liga,24,1986,29,13,1252,13.9,0.14,0.07,0.14,0,0,0.14,0,0.14,0.07,0.22,0.14,0.22,Matches,7c293728
59,Emiliano Alfaro,uy URU,FW,Lazio,it Serie A,23,1988,8,1,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c70e8c98
60,Christian Alfonso,es ESP,MF,Espanyol,es La Liga,22,1989,5,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ecfe11fd
61,Masahudu Alhassan,gh GHA,DFMF,Genoa,it Serie A,18,1992,4,2,113,1.3,0,0.77,0,0,0,0,0,0,0.8,0.8,0,0.8,Matches,061c9f6f
62,Jérémie Aliadière,fr FRA,FWMF,Lorient,fr Ligue 1,28,1983,18,15,1370,15.2,0.13,0,0.13,0,0,0.2,0,0.13,0,0.13,0.13,0.13,Matches,68ef3d96
63,Felipe Aliste Lopes,br BRA,DF,Wolfsburg,de Bundesliga,23,1987,13,13,1170,13,0,0,0,0,0,0.38,0,0,0,0,0,0,Matches,ffc33b67
64,Sami Allagui,tn TUN,FWMF,Mainz 05,de Bundesliga,25,1986,19,13,1156,12.8,0.31,0.08,0.31,0,0,0.31,0,0.31,0.08,0.39,0.31,0.39,Matches,96d9f642
65,Joe Allen,wls WAL,MF,Swansea City,eng Premier League,21,1990,36,31,2896,32.2,0.12,0.06,0.12,0,0,0.06,0.03,0.12,0.06,0.19,0.12,0.19,Matches,9feb8f24
66,Henrique Almeida,br BRA,FW,Granada,es La Liga,20,1991,6,1,214,2.4,0,0,0,0,0,0.42,0.42,0,0,0,0,0,Matches,8aa2f2e3
67,Sergio Almirón,ar ARG,MF,Catania,it Serie A,30,1980,32,31,2605,28.9,0.14,0,0.14,0,0,0.17,0.03,0.14,0,0.14,0.14,0.14,Matches,ce05fadf
68,Paul Alo'o,cm CMR,FW,Nancy,fr Ligue 1,27,1983,6,0,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5b37963b
69,Alejandro Alonso,ar ARG,MF,Saint-Étienne,fr Ligue 1,29,1982,5,2,149,1.7,0,0,0,0,0,0.59,0,0,0,0,0,0,Matches,52c2dde2
70,Marcos Alonso,es ESP,DFMF,Bolton,eng Premier League,20,1990,5,4,331,3.7,0.27,0,0.27,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches,f4290206
71,Xabi Alonso,es ESP,MF,Real Madrid,es La Liga,29,1981,36,35,3138,34.9,0.03,0.14,0.03,0,0,0.37,0,0.03,0.14,0.17,0.03,0.17,Matches,dc001a06
72,Alexandre Alphonse,gp GLP,FWMF,Brest,fr Ligue 1,29,1982,11,9,734,8.2,0.12,0.12,0.12,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches,2bef9dfd
73,Sanaa Altama,td CHA,MF,Dijon,fr Ligue 1,21,1990,17,11,961,10.7,0,0,0,0,0,0.19,0,0,0,0,0,0,Matches,cdb97a30
74,Hamit Altıntop,tr TUR,DFMF,Real Madrid,es La Liga,28,1982,5,1,164,1.8,0.56,0,0.56,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches,98e33da5
75,Cristian Álvarez,ar ARG,GK,Espanyol,es La Liga,25,1985,23,23,2059,22.9,0,0,0,0,0,0.13,0,0,0,0,0,0,Matches,87e89eb4
76,Édgar Álvarez,hn HON,DFMF,Palermo,it Serie A,31,1980,8,4,409,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,41d086b6
77,Pablo Álvarez,ar ARG,DF,Catania,it Serie A,27,1984,7,7,506,5.6,0,0,0,0,0,0.36,0,0,0,0,0,0,Matches,1226cc4f
78,Pablo Álvarez,ar ARG,DF,Zaragoza,es La Liga,27,1984,15,15,1281,14.2,0,0.07,0,0,0,0.42,0.07,0,0.07,0.07,0,0.07,Matches,1226cc4f
79,Ricky Álvarez,ar ARG,MF,Inter,it Serie A,23,1988,21,15,1167,13,0.15,0.38,0.15,0,0,0.23,0,0.15,0.39,0.54,0.15,0.54,Matches,92a5ac34
80,Sergio Álvarez,es ESP,MF,Sporting Gijón,es La Liga,19,1992,6,4,325,3.6,0,0,0,0,0,0.28,0,0,0,0,0,0,Matches,88d91621
81,Dani Alves,br BRA,DFMF,Barcelona,es La Liga,28,1983,33,29,2674,29.7,0.07,0.3,0.07,0,0,0.27,0.07,0.07,0.3,0.37,0.07,0.37,Matches,c9e99e49
82,Diego Alves,br BRA,GK,Valencia,es La Liga,26,1985,12,12,1080,12,0,0,0,0,0,0.25,0,0,0,0,0,0,Matches,12421a7c
83,Morgan Amalfitano,fr FRA,MF,Marseille,fr Ligue 1,26,1985,32,28,2454,27.3,0.04,0.15,0.04,0,0,0.33,0,0.04,0.15,0.18,0.04,0.18,Matches,ab914649
84,Luis Amaranto Perea,co COL,DF,Atlético Madrid,es La Liga,32,1979,19,11,1107,12.3,0,0,0,0,0,0.41,0,0,0,0,0,0,Matches,ff1988a5
85,Jordi Amat,es ESP,DF,Espanyol,es La Liga,19,1992,9,7,638,7.1,0,0,0,0,0,0.42,0.14,0,0,0,0,0,Matches,d70a2141
86,Amauri,it ITA,FW,Fiorentina,it Serie A,31,1980,13,11,973,10.8,0.09,0,0.09,0,0,0.37,0,0.09,0,0.09,0.09,0.09,Matches,b6d4bf9d
87,Antonio Amaya,es ESP,DF,Betis,es La Liga,28,1983,12,9,941,10.5,0,0,0,0,0,0.38,0,0,0,0,0,0,Matches,cfe5ba41
88,Massimo Ambrosini,it ITA,MF,Milan,it Serie A,34,1977,22,17,1407,15.6,0.06,0.13,0.06,0,0,0.45,0,0.06,0.13,0.19,0.06,0.19,Matches,26b20735
89,Martin Amedick,de GER,DF,Kaiserslautern,de Bundesliga,28,1982,14,13,1179,13.1,0,0.08,0,0,0,0.23,0,0,0.08,0.08,0,0.08,Matches,d04916fb
90,Marco Amelia,it ITA,GK,Milan,it Serie A,29,1982,9,7,731,8.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,54da8e59
91,Sammy Ameobi,eng ENG,FWMF,Newcastle Utd,eng Premier League,19,1992,10,1,202,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,acd61628
92,Shola Ameobi,ng NGA,FW,Newcastle Utd,eng Premier League,29,1981,27,8,1023,11.4,0.18,0.44,0.18,0,0,0.26,0,0.18,0.44,0.62,0.18,0.62,Matches,e79a368b
93,Massimiliano Ammendola,it ITA,MF,Napoli,it Serie A,21,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,110c39d8
94,Fernando Amorebieta,ve VEN,DF,Athletic Club,es La Liga,26,1985,28,27,2330,25.9,0.12,0,0.12,0,0,0.42,0.08,0.12,0,0.12,0.12,0.12,Matches,b2bbc0ec
95,Ben Amos,eng ENG,GK,Manchester Utd,eng Premier League,21,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f6799cd2
96,Mohamed Amsif,ma MAR,GK,Augsburg,de Bundesliga,22,1989,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5c3f2927
97,Stephan Andersen,dk DEN,GK,Evian,fr Ligue 1,29,1981,30,29,2640,29.3,0,0,0,0,0,0.03,0,0,0,0,0,0,Matches,314c2af0
98,Anderson,br BRA,MF,Manchester Utd,eng Premier League,23,1988,10,8,690,7.7,0.26,0.13,0.26,0,0,0.26,0,0.26,0.13,0.39,0.26,0.39,Matches,ffcbeb74
99,Bruno Andrade,pt POR,FWMF,QPR,eng Premier League,17,1993,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6e87c80f
100,Benjamin André,fr FRA,DFMF,Ajaccio,fr Ligue 1,20,1990,33,30,2646,29.4,0.14,0.07,0.14,0,0,0.37,0,0.14,0.07,0.2,0.14,0.2,Matches,ef9c1c95
101,Marco Andreolli,it ITA,DF,Chievo,it Serie A,25,1986,23,22,1889,21,0.05,0,0.05,0,0,0.14,0,0.05,0,0.05,0.05,0.05,Matches,13d820de
102,Keith Andrews,ie IRL,MF,West Brom,eng Premier League,30,1980,14,8,789,8.8,0.23,0.11,0.23,0,0,0.23,0,0.23,0.11,0.34,0.23,0.34,Matches,5bca867f
103,Andrezinho,br BRA,DF,Köln,de Bundesliga,29,1981,7,4,383,4.3,0,0,0,0,0,0.23,0,0,0,0,0,0,Matches,69e775e8
104,Mariano Andújar,ar ARG,GK,Catania,it Serie A,28,1983,16,16,1440,16,0,0,0,0,0,0.06,0,0,0,0,0,0,Matches,609cd867
105,Nicolas Anelka,fr FRA,FW,Chelsea,eng Premier League,32,1979,9,3,421,4.7,0.21,0.21,0.21,0,0,0,0,0.21,0.21,0.43,0.21,0.43,Matches,931ed5e9
106,Juan Ángel Albín,uy URU,FWMF,Espanyol,es La Liga,25,1986,6,2,166,1.8,0.56,0,0.56,0,0,0.56,0,0.54,0,0.54,0.54,0.54,Matches,6be43cc9
107,José Ángel Crespo,es ESP,DF,Bologna,it Serie A,24,1987,7,3,326,3.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8ec4c2f7
108,Miguel Ángel Moyá,es ESP,GK,Getafe,es La Liga,27,1984,36,36,3240,36,0,0,0,0,0,0.06,0,0,0,0,0,0,Matches,011d8c56
109,José Ángel,es ESP,DF,Roma,it Serie A,21,1989,27,24,2182,24.2,0,0.04,0,0,0,0.12,0.04,0,0.04,0.04,0,0.04,Matches,3024e383
110,Ângelo,br BRA,DFMF,Siena,it Serie A,30,1981,13,7,629,7,0,0.14,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches,376fa7e6
111,Benjamin Angoua,ci CIV,DF,Valenciennes,fr Ligue 1,24,1986,20,20,1726,19.2,0,0,0,0,0,0.21,0,0,0,0,0,0,Matches,de715534
112,Aldo Angoula,fr FRA,DF,Evian,fr Ligue 1,30,1981,30,29,2576,28.6,0.07,0,0.07,0,0,0.28,0.03,0.07,0,0.07,0.07,0.07,Matches,301a013a
113,Victor Anichebe,ng NGA,FW,Everton,eng Premier League,23,1988,12,5,448,5,1,0,1,0,0,0.2,0,1,0,1,1,1,Matches,4aed5c19
114,Kévin Anin,fr FRA,MF,Nice,fr Ligue 1,25,1986,13,11,865,9.6,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches,9b040de4
115,Kévin Anin,fr FRA,MF,Sochaux,fr Ligue 1,25,1986,14,14,1260,14,0,0,0,0,0,0.14,0,0,0,0,0,0,Matches,9b040de4
116,Xavi Annunziata,es ESP,FWMF,Osasuna,es La Liga,23,1987,6,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e146dbda
117,Ion Ansotegi,es ESP,DF,Real Sociedad,es La Liga,29,1982,9,8,745,8.3,0,0,0,0,0,0.24,0,0,0,0,0,0,Matches,72b26e8e
118,Luca Antonelli,it ITA,DFMF,Genoa,it Serie A,24,1987,11,8,677,7.5,0,0,0,0,0,0,0.13,0,0,0,0,0,Matches,40f0ed6c
119,Luca Antonini,it ITA,DFMF,Milan,it Serie A,28,1982,20,17,1464,16.3,0,0,0,0,0,0.25,0,0,0,0,0,0,Matches,09952eb7
120,José Antonio Reyes,es ESP,MF,Atlético Madrid,es La Liga,27,1983,13,8,715,7.9,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches,19058f02
121,José Antonio Reyes,es ESP,MF,Sevilla,es La Liga,27,1983,19,15,1179,13.1,0.08,0.31,0.08,0,0,0.08,0,0.08,0.31,0.38,0.08,0.38,Matches,19058f02
122,Francesco Antonioli,it ITA,GK,Cesena,it Serie A,41,1969,30,30,2691,29.9,0,0,0,0,0,0.03,0.03,0,0,0,0,0,Matches,0fa7ec78
123,Mikael Antonsson,se SWE,DF,Bologna,it Serie A,30,1981,24,22,1862,20.7,0,0,0,0,0,0.05,0,0,0,0,0,0,Matches,f2d791b6
124,Dennis Aogo,de GER,DFMF,Hamburger SV,de Bundesliga,24,1987,30,30,2700,30,0,0.07,0,0,0,0.2,0,0,0.07,0.07,0,0.07,Matches,c311243f
125,Dudu Aouate,il ISR,GK,Mallorca,es La Liga,33,1977,37,37,3277,36.4,0,0,0,0,0,0.11,0.03,0,0,0,0,0,Matches,4d1b3701
126,Onyekachi Apam,ng NGA,DF,Rennes,fr Ligue 1,24,1986,12,12,915,10.2,0,0,0,0,0,0.49,0.1,0,0,0,0,0,Matches,40965cd3
127,Apoño,es ESP,MF,Málaga,es La Liga,27,1984,6,2,211,2.3,0.43,0,0,0.43,0.43,0.43,0,0.43,0,0.43,0,0,Matches,02503ca3
128,Apoño,es ESP,MF,Zaragoza,es La Liga,27,1984,17,16,1381,15.3,0.33,0.07,0.13,0.2,0.2,0.26,0,0.33,0.07,0.39,0.13,0.2,Matches,02503ca3
129,Alberto Aquilani,it ITA,MF,Milan,it Serie A,27,1984,23,14,1398,15.5,0.06,0.32,0.06,0,0,0.32,0,0.06,0.32,0.39,0.06,0.39,Matches,ad340e17
130,Manuel Arana,es ESP,MF,Racing Sant,es La Liga,26,1984,28,22,2022,22.5,0.09,0.09,0.09,0,0,0.36,0,0.09,0.09,0.18,0.09,0.18,Matches,81fac4d9
131,Mikel Aranburu,es ESP,MF,Real Sociedad,es La Liga,32,1979,29,26,2146,23.8,0.08,0.08,0.08,0,0,0.13,0,0.08,0.08,0.17,0.08,0.17,Matches,9452d85a
132,Carlos Aranda,es ESP,FW,Levante,es La Liga,31,1980,10,0,195,2.2,0,0,0,0,0,0.45,0,0,0,0,0,0,Matches,2b60c45d
133,Carlos Aranda,es ESP,FW,Zaragoza,es La Liga,31,1980,13,9,755,8.4,0.36,0.24,0.36,0,0.12,0.12,0,0.36,0.24,0.6,0.36,0.6,Matches,2b60c45d
134,Juan Arango,ve VEN,MF,M'Gladbach,de Bundesliga,31,1980,34,34,3026,33.6,0.18,0.3,0.18,0,0,0.12,0,0.18,0.3,0.48,0.18,0.48,Matches,49c057c9
135,Álvaro Arbeloa,es ESP,DF,Real Madrid,es La Liga,28,1983,26,26,2218,24.6,0,0.08,0,0,0,0.37,0,0,0.08,0.08,0,0.08,Matches,6dc73abd
136,Lorenzo Ariaudo,it ITA,DF,Cagliari,it Serie A,22,1989,24,16,1601,17.8,0.06,0,0.06,0,0,0.17,0,0.06,0,0.06,0.06,0.06,Matches,68b78c2a
137,Javier Arizmendi,es ESP,FWMF,Getafe,es La Liga,27,1984,3,0,57,0.6,0,0,0,0,0,1.67,0,0,0,0,0,0,Matches,14a6c075
138,Sylvain Armand,fr FRA,DF,Paris S-G,fr Ligue 1,30,1980,23,8,875,9.7,0.1,0.1,0.1,0,0,0.31,0,0.1,0.1,0.21,0.1,0.21,Matches,cfa036c3
139,Emiliano Armenteros,ar ARG,MF,Rayo Vallecano,es La Liga,25,1986,13,12,984,10.9,0.18,0,0.18,0,0,0.09,0,0.18,0,0.18,0.18,0.18,Matches,66475fb9
140,Emiliano Armenteros,ar ARG,MF,Sevilla,es La Liga,25,1986,13,4,487,5.4,0,0,0,0,0,0.19,0,0,0,0,0,0,Matches,66475fb9
141,Pablo Armero,co COL,DFMF,Udinese,it Serie A,24,1986,28,25,2328,25.9,0,0.35,0,0,0,0.27,0,0,0.35,0.35,0,0.35,Matches,afabf74e
142,Marko Arnautović,at AUT,FWMF,Werder Bremen,de Bundesliga,22,1989,19,10,966,10.7,0.56,0,0.56,0,0,0,0.09,0.56,0,0.56,0.56,0.56,Matches,459419
143,John Arne Riise,no NOR,DFMF,Fulham,eng Premier League,30,1980,36,35,3139,34.9,0,0.11,0,0,0,0.06,0,0,0.11,0.11,0,0.11,Matches,9bf988c2
144,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,17,1994,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,86e119e0
145,Grégory Arnolin,mq MTQ,DF,Sporting Gijón,es La Liga,30,1980,21,18,1635,18.2,0,0,0,0,0,0.22,0,0,0,0,0,0,Matches,e35dba25
146,Salvatore Aronica,it ITA,DF,Napoli,it Serie A,33,1978,31,29,2536,28.2,0,0,0,0,0,0.14,0.04,0,0,0,0,0,Matches,a060cd8e
147,Alejandro Arribas,es ESP,DF,Rayo Vallecano,es La Liga,22,1989,34,34,2992,33.2,0.03,0,0.03,0,0,0.51,0,0.03,0,0.03,0.03,0.03,Matches,cc29324e
148,Tommaso Arrigoni,it ITA,MF,Cesena,it Serie A,17,1994,13,8,768,8.5,0,0,0,0,0,0.24,0,0,0,0,0,0,Matches,45484d23
149,Álvaro Arroyo,es ESP,DF,Getafe,es La Liga,23,1988,4,3,254,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b2fa39c5
150,Andrey Arshavin,ru RUS,FWMF,Arsenal,eng Premier League,30,1981,19,8,724,8,0.13,0.38,0.13,0,0,0.13,0,0.12,0.37,0.5,0.12,0.5,Matches,8fd1ea1f
