Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Wigan Athletic,eng Premier League,20,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5f09991f
2,Ignazio Abate,it ITA,DFMF,Milan,it Serie A,24,1986,29,29,2597,28.9,0,0.07,0,0,0,0.14,0,0,0.07,0.07,0,0.07,Matches,1c529186
3,Christian Abbiati,it ITA,GK,Milan,it Serie A,34,1977,31,31,2689,29.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,322421c2
4,Mohammed Abdellaoue,no NOR,FW,Hannover 96,de Bundesliga,25,1985,28,27,1990,22.1,0.5,0,0.36,0.14,0.14,0.09,0,0.5,0,0.5,0.36,0.36,Matches,7b068bd2
5,Aymen Abdennour,tn TUN,DF,Toulouse,fr Ligue 1,21,1989,32,32,2880,32,0.06,0,0.06,0,0,0.22,0,0.06,0,0.06,0.06,0.06,Matches,2f798b41
6,Yacine Abdessadki,ma MAR,MF,Freiburg,de Bundesliga,30,1981,11,8,625,6.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fc6a1641
7,Almen Abdi,ch SUI,MF,Udinese,it Serie A,24,1986,23,9,920,10.2,0,0,0,0,0,0.29,0,0,0,0,0,0,Matches,8d425d84
8,Pape Abdou Camara,sn SEN,MF,Valenciennes,fr Ligue 1,19,1991,11,8,699,7.8,0,0,0,0,0,0.13,0,0,0,0,0,0,Matches,5a4728b8
9,Mathias Abel,de GER,DF,Kaiserslautern,de Bundesliga,30,1981,22,20,1838,20.4,0,0,0,0,0,0.1,0,0,0,0,0,0,Matches,b0157081
10,Damià Abella,es ESP,DFMF,Osasuna,es La Liga,29,1982,30,24,2255,25.1,0,0,0,0,0,0.44,0,0,0,0,0,0,Matches,e35b4a15
11,Éric Abidal,fr FRA,DF,Barcelona,es La Liga,31,1979,22,20,1762,19.6,0,0.05,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,016828bd
12,Vincent Aboubakar,cm CMR,FW,Valenciennes,fr Ligue 1,19,1992,27,25,2227,24.7,0.24,0.12,0.24,0,0,0.24,0,0.24,0.12,0.36,0.24,0.36,Matches,8637e09a
13,Fabrice Abriel,fr FRA,MF,Nice,fr Ligue 1,32,1979,27,23,1856,20.6,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0.1,Matches,94ae30a8
14,Francesco Acerbi,it ITA,DF,Chievo,it Serie A,23,1988,17,14,1341,14.9,0.07,0,0.07,0,0,0.07,0,0.07,0,0.07,0.07,0.07,Matches,b96b595c
15,Hakeem Achour,dz ALG,MF,Dijon,fr Ligue 1,22,1989,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eb5bbb56
16,Lautaro Acosta,ar ARG,FWMF,Racing Sant,es La Liga,23,1988,21,14,1259,14,0.14,0,0.14,0,0,0.29,0,0.14,0,0.14,0.14,0.14,Matches,2a3af4d5
17,Maxwell Acosty,gh GHA,FWMF,Fiorentina,it Serie A,19,1991,5,0,125,1.4,0,0,0,0,0,0.71,0,0,0,0,0,0,Matches,64a674d9
