Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Toni Dovale,es ESP,DFMF,Celta Vigo,es La Liga,22,1990,14,0,270,3,0,0,0,0,0,0.67,0,0,0,0,0,0,Matches,d4b9adcf
2,Ignazio Abate,it ITA,DFMF,Milan,it Serie A,25,1986,27,25,2291,25.5,0,0.08,0,0,0,0.08,0,0,0.08,0.08,0,0.08,Matches,1c529186
3,Christian Abbiati,it ITA,GK,Milan,it Serie A,35,1977,28,28,2444,27.2,0,0,0,0,0,0.07,0,0,0,0,0,0,Matches,322421c2
4,Elvis Abbruscato,it ITA,FW,Pescara,it Serie A,31,1981,25,11,1148,12.8,0.16,0,0.16,0,0,0.08,0,0.16,0,0.16,0.16,0.16,Matches,3b0bc99c
5,Kassim Abdallah,km COM,DF,Marseille,fr Ligue 1,25,1987,13,11,869,9.7,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,6ae490cc
6,Mohammed Abdellaoue,no NOR,FW,Hannover 96,de Bundesliga,26,1985,26,12,1036,11.5,0.7,0.09,0.52,0.17,0.17,0.09,0,0.69,0.09,0.78,0.52,0.61,Matches,7b068bd2
7,Aymen Abdennour,tn TUN,DF,Toulouse,fr Ligue 1,22,1989,30,30,2700,30,0.03,0.07,0.03,0,0,0.2,0,0.03,0.07,0.1,0.03,0.1,Matches,2f798b41
8,Pape Abdou Camara,sn SEN,MF,Valenciennes,fr Ligue 1,20,1991,6,2,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5a4728b8
9,Rafidine Abdullah,km COM,MF,Marseille,fr Ligue 1,18,1994,15,3,464,5.2,0,0,0,0,0,0.19,0,0,0,0,0,0,Matches,4d9ee090
10,Damià Abella,es ESP,DFMF,Osasuna,es La Liga,30,1982,29,29,2471,27.5,0,0.04,0,0,0,0.55,0,0,0.04,0.04,0,0.04,Matches,e35b4a15
11,Mathías Abero,uy URU,DFMF,Bologna,it Serie A,22,1990,10,1,264,2.9,0,0.34,0,0,0,0.69,0,0,0.34,0.34,0,0.34,Matches,33cb8ca4
12,Éric Abidal,fr FRA,DF,Barcelona,es La Liga,32,1979,5,2,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,016828bd
13,Vincent Aboubakar,cm CMR,FW,Valenciennes,fr Ligue 1,20,1992,28,13,1190,13.2,0.15,0.08,0.15,0,0,0,0,0.15,0.08,0.23,0.15,0.23,Matches,8637e09a
14,David Abraham,ar ARG,DF,Hoffenheim,de Bundesliga,26,1986,12,12,1023,11.4,0,0,0,0,0,0.09,0,0,0,0,0,0,Matches,565bf0da
15,David Abraham,ar ARG,DF,Getafe,es La Liga,26,1986,9,9,768,8.5,0,0,0,0,0,0.12,0,0,0,0,0,0,Matches,565bf0da
16,Fabrice Abriel,fr FRA,MF,Nice,fr Ligue 1,33,1979,28,19,1789,19.9,0.05,0.1,0.05,0,0,0.15,0,0.05,0.1,0.15,0.05,0.15,Matches,94ae30a8
17,Mohammed Abu,gh GHA,FWMF,Lorient,fr Ligue 1,20,1991,7,6,523,5.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c1f17b17
18,Mohammed Abu,gh GHA,FWMF,Rayo Vallecano,es La Liga,20,1991,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c1f17b17
19,Francesco Acerbi,it ITA,DF,Milan,it Serie A,24,1988,6,5,473,5.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b96b595c
20,Francesco Acerbi,it ITA,DF,Chievo,it Serie A,24,1988,7,5,443,4.9,0,0,0,0,0,0.41,0,0,0,0,0,0,Matches,b96b595c
21,Robert Acquafresca,it ITA,FW,Bologna,it Serie A,24,1987,6,3,276,3.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d2b115ae
22,Robert Acquafresca,it ITA,FW,Levante,es La Liga,24,1987,13,12,936,10.4,0.29,0,0.29,0,0,0.1,0,0.29,0,0.29,0.29,0.29,Matches,d2b115ae
23,Afriyie Acquah,gh GHA,MF,Parma,it Serie A,20,1992,13,4,540,6,0,0,0,0,0,0.5,0,0,0,0,0,0,Matches,d7403bd5
24,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,26,1985,27,22,1758,19.5,0.15,0.1,0.15,0,0,0.41,0.05,0.15,0.1,0.26,0.15,0.26,Matches,aff418dc
25,Antonio Adán,es ESP,GK,Real Madrid,es La Liga,25,1987,3,3,186,2.1,0,0,0,0,0,0,0.48,0,0,0,0,0,Matches,65d62814
26,Emmanuel Adebayor,tg TOG,FW,Tottenham,eng Premier League,28,1984,25,18,1598,17.8,0.28,0.06,0.28,0,0,0.17,0.06,0.28,0.06,0.34,0.28,0.34,Matches,936d9e3e
27,René Adler,de GER,GK,Hamburger SV,de Bundesliga,27,1985,32,32,2880,32,0,0,0,0,0,0.16,0,0,0,0,0,0,Matches,f71890f5
28,Youssef Adnane,fr FRA,FW,Evian,fr Ligue 1,27,1985,18,7,716,8,0.25,0,0.25,0,0,0.13,0,0.25,0,0.25,0.25,0.25,Matches,0cb152eb
29,Adrián,es ESP,GK,Betis,es La Liga,25,1987,32,31,2869,31.9,0,0,0,0,0,0.16,0,0,0,0,0,0,Matches,f76e6b4e
30,Adriano,br BRA,DFMF,Barcelona,es La Liga,27,1984,23,18,1428,15.9,0.31,0.06,0.31,0,0,0.19,0,0.32,0.06,0.38,0.32,0.38,Matches,9d8586c4
31,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,31,1981,36,33,2547,28.3,0.49,0.21,0.46,0.04,0.07,0.42,0.04,0.49,0.21,0.71,0.46,0.67,Matches,2.93E+06
32,Luis Advíncula,pe PER,DFMF,Hoffenheim,de Bundesliga,22,1990,2,1,75,0.8,0,0,0,0,0,1.25,0,0,0,0,0,0,Matches,cacadf4f
33,Ibrahim Afellay,nl NED,FWMF,Schalke 04,de Bundesliga,26,1986,10,8,624,6.9,0.29,0,0.29,0,0,0.29,0,0.29,0,0.29,0.29,0.29,Matches,9a8c6673
34,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,34,1978,33,33,2925,32.5,0,0,0,0,0,0.09,0,0,0,0,0,0,Matches,14a03f68
