Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
34,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,21,1995,10,8,735,8.2,0.37,0,0.37,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches,eaeca114
35,Jean-Daniel Akpa-Akpro,ci CIV,DFMF,Toulouse,fr Ligue 1,23,1992,2,0,73,0.8,0,0,0,0,0,1.25,0,0,0,0,0,0,Matches,fdf4b948
36,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,24,1992,32,29,2506,27.8,0.14,0.14,0.14,0,0,0.04,0,0.14,0.14,0.29,0.14,0.29,Matches,05439de2
37,Javi Álamo,es ESP,FWMF,Osasuna,es La Liga,27,1988,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ffd69308
38,Jordi Alba,es ESP,DF,Barcelona,es La Liga,27,1989,26,21,1968,21.9,0.05,0.27,0.05,0,0,0.18,0,0.05,0.27,0.32,0.05,0.32,Matches,4.60E+197
39,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,27,1988,27,26,2335,25.9,0.04,0.04,0.04,0,0,0.39,0.04,0.04,0.04,0.08,0.04,0.08,Matches,348e4809
40,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,23,1992,9,4,365,4.1,0.24,0.49,0.24,0,0,0,0,0.25,0.49,0.74,0.25,0.74,Matches,5294a83f
41,Raúl Albiol,es ESP,DF,Napoli,it Serie A,30,1985,26,25,2297,25.5,0,0.04,0,0,0,0.31,0,0,0.04,0.04,0,0.04,Matches,4bd414c1
42,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,26,1989,33,29,2411,26.8,0.07,0.22,0.07,0,0,0.19,0,0.07,0.22,0.3,0.07,0.3,Matches,b827d5b3
43,Paco Alcácer,es ESP,FW,Barcelona,es La Liga,22,1993,20,6,858,9.5,0.63,0.32,0.63,0,0,0.11,0,0.63,0.31,0.94,0.63,0.94,Matches,a7a9d95a
44,Paco Alcácer,es ESP,FW,Valencia,es La Liga,22,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a7a9d95a
45,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,25,1991,27,26,2288,25.4,0.24,0.2,0.24,0,0,0.16,0,0.24,0.2,0.43,0.24,0.43,Matches,77e84962
46,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,27,1989,30,30,2601,28.9,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0.03,0.03,Matches,f7d50789
47,Haitam Aleesami,no NOR,MFDF,Palermo,it Serie A,25,1991,31,29,2630,29.2,0.03,0.1,0.03,0,0,0.21,0,0.03,0.1,0.14,0.03,0.14,Matches,4085f08e
48,Álex Alegría,es ESP,FW,Betis,es La Liga,23,1992,25,15,1438,16,0.19,0.13,0.19,0,0,0.13,0,0.19,0.13,0.31,0.19,0.31,Matches,46166b49
49,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,19,1996,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0f4c0bad
50,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,18,1998,3,0,43,0.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches,6c811eb7
51,Romain Alessandrini,fr FRA,FWMF,Marseille,fr Ligue 1,27,1989,6,3,241,2.7,0,0,0,0,0,0.37,0,0,0,0,0,0,Matches,7a7610d2
52,Alexander,ar ARG,MF,Leganés,es La Liga,27,1988,28,24,2031,22.6,0.35,0.09,0.31,0.04,0.09,0.04,0,0.35,0.09,0.44,0.31,0.4,Matches,3e1858af
53,Trent Alexander-Arnold,eng ENG,MFDF,Liverpool,eng Premier League,17,1998,7,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cd1acf9d
54,Alexis,es ESP,DF,Alavés,es La Liga,30,1985,24,19,1819,20.2,0.1,0.05,0.1,0,0,0.5,0.05,0.1,0.05,0.15,0.1,0.15,Matches,db0cd1ae
55,Jérémie Aliadière,fr FRA,FW,Lorient,fr Ligue 1,33,1983,13,6,487,5.4,0.19,0.37,0.19,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches,68ef3d96
56,Sami Allagui,tn TUN,FWMF,Hertha BSC,de Bundesliga,30,1986,12,0,181,2,0.5,0,0,0.5,0.5,1,0,0.5,0,0.5,0,0,Matches,96d9f642
57,Allan,br BRA,MF,Hertha BSC,de Bundesliga,19,1997,15,8,798,8.9,0,0,0,0,0,0.34,0,0,0,0,0,0,Matches,b15e93aa
58,Allan,br BRA,MF,Napoli,it Serie A,25,1991,29,19,1610,17.9,0.06,0.34,0.06,0,0,0.17,0,0.06,0.34,0.39,0.06,0.39,Matches,cc700722
59,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,26,1990,36,34,2930,32.6,0.18,0.06,0.18,0,0,0.28,0,0.18,0.06,0.25,0.18,0.25,Matches,9feb8f24
60,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,20,1996,37,35,3034,33.7,0.53,0.21,0.5,0.03,0.03,0.12,0,0.53,0.21,0.74,0.5,0.71,Matches,cea4ee8f
61,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,af615123
62,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,23,1993,12,10,959,10.7,0,0.09,0,0,0,0.09,0,0,0.09,0.09,0,0.09,Matches,b18a3023
63,Marcos Alonso,es ESP,MF,Chelsea,eng Premier League,25,1990,31,30,2693,29.9,0.2,0.1,0.2,0,0,0.07,0,0.2,0.1,0.3,0.2,0.3,Matches,f4290206
64,Marcos Alonso,es ESP,MF,Fiorentina,it Serie A,25,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f4290206
65,Xabi Alonso,es ESP,MF,Bayern Munich,de Bundesliga,34,1981,27,22,1903,21.1,0.14,0.09,0.14,0,0,0.28,0,0.14,0.09,0.24,0.14,0.24,Matches,dc001a06
66,Halil Altıntop,tr TUR,MF,Augsburg,de Bundesliga,33,1982,31,17,1605,17.8,0.34,0.11,0.34,0,0,0.06,0,0.34,0.11,0.45,0.34,0.45,Matches,efcdb132
67,Hamit Altıntop,tr TUR,MF,Darmstadt 98,de Bundesliga,33,1982,16,15,1362,15.1,0,0,0,0,0.07,0.2,0,0,0,0,0,0,Matches,98e33da5
68,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,28,1988,21,11,987,11,0.18,0.18,0.18,0,0,0.27,0.09,0.18,0.18,0.36,0.18,0.36,Matches,92a5ac34
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26,26,2340,26,0,0.04,0,0,0,0,0.04,0,0.04,0.04,0,0.04,Matches,8875b8c9
70,Sergio Álvarez,es ESP,MF,Sporting Gijón,es La Liga,24,1992,36,34,3003,33.4,0.06,0.03,0.06,0,0,0.27,0,0.06,0.03,0.09,0.06,0.09,Matches,88d91621
71,Víctor Álvarez,es ESP,DF,Espanyol,es La Liga,23,1993,4,2,204,2.3,0,0,0,0,0,0.87,0,0,0,0,0,0,Matches,563f3469
72,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,21,1995,26,25,2271,25.2,0,0,0,0,0,0.12,0,0,0,0,0,0,Matches,3ecc11d8
73,Bruno Alves,pt POR,DF,Cagliari,it Serie A,34,1981,36,36,3240,36,0.03,0,0.03,0,0,0.14,0.03,0.03,0,0.03,0.03,0.03,Matches,585a73a8
74,Dani Alves,br BRA,DFMF,Juventus,it Serie A,33,1983,19,15,1359,15.1,0.13,0.2,0.13,0,0,0.33,0,0.13,0.2,0.33,0.13,0.33,Matches,c9e99e49
75,Diego Alves,br BRA,GK,Valencia,es La Liga,31,1985,33,33,2970,33,0,0,0,0,0,0.12,0,0,0,0,0,0,Matches,12421a7c
76,Ibrahim Amadou,fr FRA,MF,Lille,fr Ligue 1,23,1993,35,34,2952,32.8,0.03,0,0.03,0,0,0.12,0,0.03,0,0.03,0.03,0.03,Matches,9260926b
77,Morgan Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,31,1985,6,6,401,4.5,0.22,0,0.22,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches,ab914649
78,Morgan Amalfitano,fr FRA,MFFW,Lille,fr Ligue 1,31,1985,17,8,733,8.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ab914649
79,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,26,1989,26,15,1418,15.8,0,0,0,0,0,0.13,0,0,0,0,0,0,Matches,d7bf3d19
80,Daniel Amartey,gh GHA,MF,Leicester City,eng Premier League,21,1994,24,17,1673,18.6,0.05,0.05,0.05,0,0,0.16,0,0.05,0.05,0.11,0.05,0.11,Matches,1a4ef233
81,Jordi Amat,es ESP,DF,Swansea City,eng Premier League,24,1992,17,15,1409,15.7,0,0,0,0,0,0.32,0,0,0,0,0,0,Matches,d70a2141
82,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,18,1998,22,20,1776,19.7,0,0,0,0,0,0.05,0,0,0,0,0,0,Matches,bcc81786
83,Nadiem Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,19,1996,33,20,1989,22.1,0.09,0.18,0.09,0,0,0.09,0,0.09,0.18,0.27,0.09,0.27,Matches,555d5edd
84,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,es La Liga,31,1985,27,26,2218,24.6,0,0.04,0,0,0,0.69,0,0,0.04,0.04,0,0.04,Matches,b2bbc0ec
