Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Fernando Menegazzo,br BRA,MF,Bordeaux,fr Ligue 1,29,1981,35,34,2945,32.7,0.06,0.03,0.06,0,0,0.21,0,0.06,0.03,0.09,0.06,0.09,Matches,75b8877e
2,Sergio Abad Beyxer,es ESP,MF,Levante,es La Liga,21,1989,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,30f729b3
3,Ignazio Abate,it ITA,DFMF,Milan,it Serie A,23,1986,29,26,2412,26.8,0,0.04,0,0,0,0.07,0.04,0,0.04,0.04,0,0.04,Matches,1c529186
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,33,1977,35,35,3078,34.2,0,0,0,0,0,0.06,0,0,0,0,0,0,Matches,322421c2
5,Mohammed Abdellaoue,no NOR,FW,Hannover 96,de Bundesliga,24,1985,26,26,2086,23.2,0.43,0.04,0.43,0,0,0.04,0,0.43,0.04,0.47,0.43,0.47,Matches,7b068bd2
6,Yacine Abdessadki,ma MAR,MF,Freiburg,de Bundesliga,29,1981,21,20,1753,19.5,0,0,0,0,0,0.21,0,0,0,0,0,0,Matches,fc6a1641
7,Almen Abdi,ch SUI,MF,Udinese,it Serie A,23,1986,19,6,634,7,0,0,0,0,0,0.71,0,0,0,0,0,0,Matches,8d425d84
8,Mathias Abel,de GER,DF,Kaiserslautern,de Bundesliga,29,1981,19,19,1663,18.5,0.11,0,0.11,0,0,0.22,0,0.11,0,0.11,0.11,0.11,Matches,b0157081
9,Damià Abella,es ESP,DFMF,Osasuna,es La Liga,28,1982,27,22,1934,21.5,0,0,0,0,0,0.33,0.05,0,0,0,0,0,Matches,e35b4a15
10,Loïc Abenzoar,fr FRA,DF,Arles-Avignon,fr Ligue 1,21,1989,12,10,732,8.1,0,0,0,0,0,0.25,0,0,0,0,0,0,Matches,d5246edc
11,Éric Abidal,fr FRA,DF,Barcelona,es La Liga,30,1979,26,23,2023,22.5,0,0,0,0,0,0.13,0,0,0,0,0,0,Matches,016828bd
12,Vincent Aboubakar,cm CMR,FW,Valenciennes,fr Ligue 1,18,1992,17,4,518,5.8,0.17,0.17,0.17,0,0,0,0,0.17,0.17,0.35,0.17,0.35,Matches,8637e09a
13,Fabrice Abriel,fr FRA,MF,Marseille,fr Ligue 1,31,1979,22,4,592,6.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,94ae30a8
14,Santiago Acasiete,pe PER,DF,Almería,es La Liga,32,1977,20,17,1598,17.8,0,0,0,0,0,0.22,0,0,0,0,0,0,Matches,39168d69
15,Pietro Accardi,it ITA,DF,Brescia,it Serie A,27,1982,8,6,586,6.5,0.15,0,0.15,0,0,0.15,0,0.15,0,0.15,0.15,0.15,Matches,f858882a
16,Pietro Accardi,it ITA,DF,Sampdoria,it Serie A,27,1982,9,4,528,5.9,0,0,0,0,0,0.51,0,0,0,0,0,0,Matches,f858882a
17,Lautaro Acosta,ar ARG,FWMF,Sevilla,es La Liga,22,1988,10,2,283,3.1,0,0.32,0,0,0,0.97,0,0,0.32,0.32,0,0.32,Matches,2a3af4d5
18,Robert Acquafresca,it ITA,FW,Cagliari,it Serie A,22,1987,37,27,2289,25.4,0.31,0.04,0.31,0,0.04,0.04,0,0.31,0.04,0.35,0.31,0.35,Matches,d2b115ae
19,Afriyie Acquah,gh GHA,MF,Palermo,it Serie A,18,1992,11,3,434,4.8,0,0,0,0,0,0.42,0,0,0,0,0,0,Matches,d7403bd5
20,Charlie Adam,sct SCO,MF,Blackpool,eng Premier League,24,1985,35,34,3049,33.9,0.35,0.24,0.15,0.21,0.24,0.32,0,0.35,0.24,0.59,0.15,0.38,Matches,aff418dc
21,Antonio Adán,es ESP,GK,Real Madrid,es La Liga,23,1987,3,2,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
22,Emmanuel Adebayor,tg TOG,FW,Manchester City,eng Premier League,26,1984,8,2,244,2.7,0.37,0,0,0.37,0.37,0,0,0.37,0,0.37,0,0,Matches,936d9e3e
23,Emmanuel Adebayor,tg TOG,FW,Real Madrid,es La Liga,26,1984,14,6,744,8.3,0.6,0,0.6,0,0.12,0,0,0.6,0,0.6,0.6,0.6,Matches,936d9e3e
24,Adeílson,br BRA,FW,Nice,fr Ligue 1,24,1985,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d1b3afca
25,René Adler,de GER,GK,Leverkusen,de Bundesliga,25,1985,32,32,2880,32,0,0,0,0,0,0.06,0,0,0,0,0,0,Matches,f71890f5
26,Adriano,br BRA,DF,Monaco,fr Ligue 1,28,1982,32,32,2737,30.4,0.13,0.03,0.13,0,0,0.36,0.03,0.13,0.03,0.16,0.13,0.16,Matches,e9350581
27,Adriano,br BRA,FW,Roma,it Serie A,28,1982,5,2,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4ec73d8a
28,Adriano,br BRA,DFMF,Barcelona,es La Liga,25,1984,14,11,937,10.4,0,0.1,0,0,0,0.29,0,0,0.1,0.1,0,0.1,Matches,9d8586c4
29,Aritz Aduriz,es ESP,FW,Valencia,es La Liga,29,1981,29,20,1846,20.5,0.49,0.1,0.49,0,0,0.29,0.05,0.49,0.1,0.59,0.49,0.59,Matches,2.93E+06
30,Ibrahim Afellay,nl NED,FWMF,Barcelona,es La Liga,24,1986,16,7,669,7.4,0.14,0,0.14,0,0,0.14,0,0.13,0,0.13,0.13,0.13,Matches,9a8c6673
31,Michael Agazzi,it ITA,GK,Cagliari,it Serie A,26,1984,38,38,3383,37.6,0,0,0,0,0,0.03,0,0,0,0,0,0,Matches,0eda0ab8
32,Gabby Agbonlahor,eng ENG,FWMF,Aston Villa,eng Premier League,23,1986,26,17,1602,17.8,0.17,0.06,0.17,0,0,0.17,0,0.17,0.06,0.22,0.17,0.22,Matches,db80f5f1
33,Daniel Agger,dk DEN,DF,Liverpool,eng Premier League,25,1984,16,12,1092,12.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f1ea4af0
34,Sendoa Agirre,es ESP,MF,Hércules,es La Liga,34,1975,23,7,793,8.8,0.34,0.11,0.34,0,0,0.11,0,0.34,0.11,0.45,0.34,0.45,Matches,0437c448
35,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,23,1987,11,1,214,2.4,1.25,0,1.25,0,0,0,0,1.26,0,1.26,1.26,1.26,Matches,c84c1afc
36,Alessandro Agostini,it ITA,DF,Cagliari,it Serie A,31,1979,34,34,2947,32.7,0,0.03,0,0,0,0.15,0,0,0.03,0.03,0,0.03,Matches,9549f66d
37,Sergio Agüero,ar ARG,FW,Atlético Madrid,es La Liga,22,1988,32,31,2662,29.6,0.68,0.1,0.64,0.03,0.03,0.2,0,0.68,0.1,0.78,0.64,0.74,Matches,4d034881
38,Abel Aguilar,co COL,MF,Hércules,es La Liga,25,1985,34,33,2862,31.8,0,0.03,0,0,0,0.35,0.03,0,0.03,0.03,0,0.03,Matches,6936b41b
39,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,19,1990,8,2,206,2.3,0,0,0,0,0,0.87,0,0,0,0,0,0,Matches,fe0b8f0e
40,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,18,1991,9,8,726,8.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0b64b1e6
41,Karim Aït-Fana,ma MAR,FWMF,Montpellier,fr Ligue 1,21,1989,19,9,990,11,0,0.09,0,0,0,0.18,0,0,0.09,0.09,0,0.09,Matches,e4f090b8
42,Yakubu Aiyegbeni,ng NGA,FW,Everton,eng Premier League,27,1982,14,7,668,7.4,0.14,0.14,0.14,0,0,0,0,0.13,0.13,0.27,0.13,0.27,Matches,a1fe3f62
43,Kanga Akalé,ci CIV,FWMF,Lens,fr Ligue 1,29,1981,30,21,1792,19.9,0.15,0.15,0.15,0,0,0.1,0,0.15,0.15,0.3,0.15,0.3,Matches,54ef5887
44,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,18,1992,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,05439de2
45,David Alaba,at AUT,DFMF,Hoffenheim,de Bundesliga,18,1992,17,17,1530,17,0.12,0.06,0.12,0,0,0.18,0,0.12,0.06,0.18,0.12,0.18,Matches,05439de2
46,Jordi Alba,es ESP,DFMF,Valencia,es La Liga,21,1989,27,14,1428,15.9,0.13,0.06,0.13,0,0,0.38,0,0.13,0.06,0.19,0.13,0.19,Matches,4.60E+197
47,Unai Alba,es ESP,GK,Hércules,es La Liga,32,1978,2,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,40e34fb7
48,David Albelda,es ESP,DFMF,Valencia,es La Liga,32,1977,16,12,1044,11.6,0,0.09,0,0,0,0.69,0.09,0,0.09,0.09,0,0.09,Matches,def14f68
49,Luis Alberto,es ESP,FWMF,Sevilla,es La Liga,17,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5294a83f
50,Raúl Albiol,es ESP,DF,Real Madrid,es La Liga,24,1985,20,13,1158,12.9,0,0,0,0,0,0.23,0.08,0,0,0,0,0,Matches,4bd414c1
51,Marc Albrighton,eng ENG,DFFW,Aston Villa,eng Premier League,20,1989,29,20,1799,20,0.25,0.2,0.25,0,0,0.15,0,0.25,0.2,0.45,0.25,0.45,Matches,b827d5b3
52,Thiago Alcántara,es ESP,MF,Barcelona,es La Liga,19,1991,12,6,666,7.4,0.27,0,0.27,0,0,0.14,0,0.27,0,0.27,0.27,0.27,Matches,77e84962
53,Antolín Alcaraz,py PAR,DF,Wigan Athletic,eng Premier League,28,1982,34,34,3029,33.7,0.03,0.03,0.03,0,0,0.21,0.03,0.03,0.03,0.06,0.03,0.06,Matches,cee38e27
54,Alex,br BRA,DF,Chelsea,eng Premier League,28,1982,15,12,1109,12.3,0.16,0,0.16,0,0,0.24,0,0.16,0,0.16,0.16,0.16,Matches,58721835
55,Alexis,es ESP,DF,Sevilla,es La Liga,24,1985,21,21,1836,20.4,0,0,0,0,0,0.39,0.05,0,0,0,0,0,Matches,db0cd1ae
56,Alejandro Alfaro,es ESP,FWMF,Sevilla,es La Liga,23,1986,20,8,727,8.1,0.25,0.25,0.25,0,0,0.12,0,0.25,0.25,0.5,0.25,0.5,Matches,7c293728
57,Rachid Aliaoui,fr FRA,MF,Arles-Avignon,fr Ligue 1,23,1986,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,599c10fe
58,Denis Alibec,ro ROU,FW,Inter,it Serie A,19,1991,2,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a1474d8e
59,Sami Allagui,tn TUN,FWMF,Mainz 05,de Bundesliga,24,1986,28,18,1568,17.4,0.57,0.17,0.57,0,0,0.06,0,0.57,0.17,0.75,0.57,0.75,Matches,96d9f642
60,Hugo Almeida,pt POR,FW,Werder Bremen,de Bundesliga,26,1984,13,7,702,7.8,1.15,0,1.15,0,0,0,0.13,1.15,0,1.15,1.15,1.15,Matches,740acaf8
61,Sergio Almirón,ar ARG,MF,Bari,it Serie A,29,1980,25,21,1837,20.4,0,0.1,0,0,0,0.25,0,0,0.1,0.1,0,0.1,Matches,ce05fadf
62,Manuel Almunia,es ESP,GK,Arsenal,eng Premier League,33,1977,8,8,720,8,0,0,0,0,0,0.13,0,0,0,0,0,0,Matches,9f6b2f8c
63,Paul Alo'o,cm CMR,FW,Nancy,fr Ligue 1,26,1983,8,3,207,2.3,0.87,0,0.87,0,0,0.43,0,0.87,0,0.87,0.87,0.87,Matches,5b37963b
64,Alejandro Alonso,ar ARG,MF,Monaco,fr Ligue 1,28,1982,4,3,229,2.5,0,0,0,0,0,0.8,0,0,0,0,0,0,Matches,52c2dde2
65,Alejandro Alonso,ar ARG,MF,Saint-Étienne,fr Ligue 1,28,1982,14,11,873,9.7,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.21,0,0.1,Matches,52c2dde2
66,Iván Alonso,uy URU,FW,Espanyol,es La Liga,31,1979,20,10,829,9.2,0.22,0,0.22,0,0,0.22,0,0.22,0,0.22,0.22,0.22,Matches,80084c87
67,Marcos Alonso,es ESP,DFMF,Bolton,eng Premier League,19,1990,4,4,360,4,0,0,0,0,0,0.75,0,0,0,0,0,0,Matches,f4290206
68,Xabi Alonso,es ESP,MF,Real Madrid,es La Liga,28,1981,34,29,2665,29.6,0,0.17,0,0,0,0.41,0,0,0.17,0.17,0,0.17,Matches,dc001a06
69,Jozy Altidore,us USA,FW,Villarreal,es La Liga,20,1989,3,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8db8ad1e
70,Halil Altıntop,tr TUR,FWMF,Eint Frankfurt,de Bundesliga,27,1982,34,26,2370,26.3,0,0.08,0,0,0,0.04,0,0,0.08,0.08,0,0.08,Matches,efcdb132
71,Hamit Altıntop,tr TUR,DFMF,Bayern Munich,de Bundesliga,27,1982,14,8,731,8.1,0.25,0.37,0.25,0,0,0.12,0,0.25,0.37,0.62,0.25,0.62,Matches,98e33da5
