Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,24,1990,33,33,2970,33,0.12,0.09,0.12,0,0,0.06,0,0.12,0.09,0.21,0.12,0.21,Matches,5f09991f
2,Rolando Aarons,eng ENG,DFMF,Newcastle Utd,eng Premier League,19,1995,10,3,381,4.2,0.24,0.24,0.24,0,0,0.24,0,0.24,0.24,0.47,0.24,0.47,Matches,c5942695
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,28,1986,27,27,2248,25,0.04,0.04,0.04,0,0,0.28,0,0.04,0.04,0.08,0.04,0.08,Matches,1c529186
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,322421c2
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,25,1989,22,22,1851,20.6,0,0,0,0,0,0.19,0,0,0,0,0,0,Matches,2f798b41
6,Almen Abdi,ch SUI,MF,Watford,eng Premier League,28,1986,32,25,1974,21.9,0.09,0,0.09,0,0,0.18,0,0.09,0,0.09,0.09,0.09,Matches,8d425d84
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,21,1994,12,6,579,6.4,0.16,0,0.16,0,0,0.94,0.16,0.16,0,0.16,0.16,0.16,Matches,4d9ee090
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,29,1986,31,28,2547,28.3,0,0,0,0,0,0.28,0,0,0,0,0,0,Matches,565bf0da
9,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,17,1997,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f586779e
10,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,27,1988,36,36,3240,36,0.11,0,0.11,0,0,0.08,0,0.11,0,0.11,0.11,0.11,Matches,b96b595c
11,Robert Acquafresca,it ITA,FW,Bologna,it Serie A,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d2b115ae
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,23,1992,29,22,1888,21,0.1,0.14,0.1,0,0,0.43,0,0.1,0.14,0.24,0.1,0.24,Matches,d7403bd5
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,29,1985,22,12,1044,11.6,0.09,0.09,0.09,0,0,0.52,0.09,0.09,0.09,0.17,0.09,0.17,Matches,aff418dc
14,Antonio Adán,es ESP,GK,Betis,es La Liga,28,1987,36,36,3212,35.7,0,0,0,0,0,0.14,0,0,0,0,0,0,Matches,65d62814
15,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,eng Premier League,31,1984,12,7,619,6.9,0.14,0.14,0.14,0,0,0.14,0,0.15,0.15,0.29,0.15,0.29,Matches,936d9e3e
16,Jordan Adéoti,bj BEN,MFDF,Caen,fr Ligue 1,26,1989,32,16,1718,19.1,0,0,0,0,0,0.31,0,0,0,0,0,0,Matches,508c8f3e
17,Claud Adjapong,it ITA,DFMF,Sassuolo,it Serie A,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ce5b170a
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,24,24,2071,23,0,0.04,0,0,0,0.13,0.04,0,0.04,0.04,0,0.04,Matches,f71890f5
19,Ali Adnan Kadhim,iq IRQ,MFDF,Udinese,it Serie A,21,1993,28,21,1904,21.2,0.05,0.05,0.05,0,0,0.28,0,0.05,0.05,0.09,0.05,0.09,Matches,6050480
20,Adrián,es ESP,GK,West Ham,eng Premier League,28,1987,32,32,2880,32,0,0,0,0,0,0.03,0.03,0,0,0,0,0,Matches,f76e6b4e
21,Adriano,br BRA,DF,Barcelona,es La Liga,30,1984,8,4,434,4.8,0,0.21,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches,9d8586c4
22,Luiz Adriano,br BRA,FW,Milan,it Serie A,28,1987,26,12,1194,13.3,0.3,0,0.23,0.08,0.08,0.3,0,0.3,0,0.3,0.23,0.23,Matches,2557c196
